Who?	¿Quién?
I made coffee.	Ya templá yo café.
I saw a mouse!	Ya mirá yo ratón!
I smell blood.	Ta ulí yo sangre.
I want coffee.	Quiere yo café.
I was ashamed.	Yan juyá yo.
I'm not blind.	Hindé yo bulág.
I've got wine.	Tiene yo vino.
Is that blood?	Sangre ese?
Is this yours?	De tuyo esté?
Just take one.	Uno lang sacá.
Let him do it.	Dejá cunele hacé cunese.
Let's go back.	Virá kitá olét.
My back hurts.	Ta duelé de mío costáo.
My back hurts.	Ta duelé de mío atrás.
My neck hurts.	Ta duelé de mío pescuezo.
That's a book.	Libro ese.
They are here.	Taquí silá.
They're early.	Temprano silá.
They're wrong.	Malí silá.
Tom asked why.	Ya priguntá si Tom por qué.
Tom went pale.	Yam puklá si Tom.
Tom went pale.	Ya quedá puklá si Tom.
We need paper.	Necesita kamé papel.
We're nervous.	Ta nerviá kamé.
You're a slob.	Usted un haragán.
You're a slob.	Tú un haragán.
You're a slob.	Vos un haragán.
You're a slob.	Evos un haragán.
You're a slob.	Haragán usted.
You're a slob.	Haragán Tú.
You're a slob.	Haragán vos.
Are you hungry?	Cun hambre tu?
Be careful, OK?	Tiene cuidáo, ha?
Close the book.	Cerrá el libro.
Get everything.	Saca todo.
Get me a towel.	Sacá cumigo un toalla.
Good afternoon.	¡Buenas tardes!
He saw it, too.	Ya mirá tamén le cunaquel.
He sells fruit.	Ta vendé le frutas.
He was panting.	Ta hipá ele.
I ate an apple.	Ya comé yo un manzanas.
I ate the meat.	Ya comé yo cunel carne.
I brought wine.	Ya llevá yo vino.
I drank coffee.	Ya tomá yo café.
I drink coffee.	Ta tomá yo café.
I have to help.	Necesita yo ayudá.
I have to hide.	Necesita yo escondé.
I have to know.	Necesita yo sabé.
I have to rest.	Necesita yo descansá.
I have to stay.	Necesita yo quedá.
I have to wait.	Necesita yo esperá.
I have to work.	Necesita yo trabajá.
I left my wife.	Ya dejá yo cunel de mío esposa.
I need a towel.	Necesita yo un toalla.
I smell coffee.	Ta puede yo ulí café.
I'll stay home.	Ay quedá yo na casa.
I've found Tom.	Ya encontrá yo cun Tom.
Is that a ring?	Anillo ese?
Is that coffee?	Café ese?
It's not blood.	HIndê 'se sangre.
It's not clean.	Hindê se limpio.
My nose itches.	Rasca de mio nariz.
No one can say.	Nuay quien puede hablá.
Open this door.	Abri este puerta.
Open your eyes.	Abri tu ojos.
Pigs can't fly.	No puede volá el maga puerco.
She cooks well.	Bueno le cusí.
She kissed him.	Ya besá le conele.
Sugar is sweet.	Dulce el azúcar.
Tell the truth.	Habla tu el verdad.
The tea is hot.	Caliente el cha.
This is normal.	Normal lang esté.
Tom can't come.	No puede vené si Tom.
Tom drank milk.	Ya tomá si Tom leche.
Tom drank milk.	Ya tomá leche si Tom.
Tom gave blood.	Ya doná sangre si Tom.
Tom has asthma.	Tiene asma si Tom.
Tom is nervous.	Ta nerviá si Tom.
Tom is reading.	Ta lé si Tom.
Tom isn't home.	Nuáy si Tom na casa.
Tom likes wine.	Quiere quiere si Tom vino.
We're up early.	Temprano kamé ya dispiertá.
Where are they?	Donde ya silá?
Where is Paris?	Donde puedé encontrá cunel Paris?
Why do you ask?	Por que tu ta priguntá?
You're nervous.	Ta nerviá tu.
Are you Chinese?	Chino tu?
Are you Chinese?	Chino ustedes?
Bend your knees.	Dublá de tuyo rodillas.
Bend your knees.	Dublá de tuyo dos tuhúd.
Call the police!	Llamá cunel policía!
Can you breathe?	Ta puedé tu resollá?
Count to thirty.	Cuntá hasta treinta.
Do you eat meat?	Ta comé tu carne?
Do you know why?	Sabe tu por que?
Do you remember?	Ta acordá tu?
Don't be afraid.	No tené miedo.
Drink your milk.	Tomá de tuyo leche.
Get out of here.	Salé aqui.
He bought a car.	Ya comprá le coche.
His name is Tom.	Tom de suyo nombre.
How old are you?	¿Cuántos años ya usted?
How old are you?	¿Cuántos años ya tú?
How old are you?	¿Cuántos años ya vos?
How old are you?	¿Cuántos años ya evos?
How old are you?	¿Usted, cuántos años ya?
How old are you?	¿Tú, cuántos años ya?
How old are you?	¿Vos, cuántos años ya?
How old are you?	¿Evos, cuántos años ya?
I don't need it.	Hindé yo necesita cunese.
I have ten pens.	Tiene yo diez ballpen.
I have to agree.	Necesita yo conformá.
I have to hurry!	Necesita yo apurá!
I have to leave.	Necesita ya yo andá.
I have to sleep.	Necesita yo durmí.
I have to think.	Necesita yo pensá.
I have two sons.	Tiene yo dos anák hombre.
I hope Tom wins.	Ta esperanzá yo ganá si Tom.
I just got home.	Nuevo lang yo ya llegá na casa.
I need a hammer.	Necesita yo un martillo.
I need scissors.	Necesita yo tijeras.
I need you here.	Necesita yo cuntigo aquí.
I only want one.	Uno lang yo quiere.
I tried to help.	Ya pricurá yo ayudá.
Is he breathing?	Ta resollá le?
Is this a dream?	Sueño ba esté?
It's not a game.	Hindé se juego.
It's only blood.	Sangre lang ese.
It's your money.	De tuyo se sen.
It's your money.	De tuyo se dinero.
That's not easy.	Hindê se fácil.
The leaves fell.	El maga hojas ya caé.
The leaves fell.	El mana hojas ya caé.
They'll kill me.	Ay matá silá comigo.
This is our bag.	Este diamon bag.
Tom died in bed.	Ya murí si Tom na cama.
Tom drinks wine.	Ta tomá si Tom vino.
Tom drinks wine.	Ta tomá vino si Tom.
Tom felt guilty.	Ya sintí culpable si Tom.
Tom sells fruit.	Ta vendé frutas si Tom.
Tom wants to go.	Quiere andá si Tom.
Tom was furious.	Bien rabiao gayot si Tom.
We have bananas.	TIene kamé ságuing.
What time is it?	Que hora ya?
You may go home.	Puede ya tu volvé na casa.
A lion is strong.	Mafuersa el león.
Are you still up?	Despierto pa tu?
Are you studying?	¿Ta estudía usted?
Are you studying?	¿Ta estudía tú?
Are you studying?	¿Ta estudía vos?
Are you studying?	¿Usted ta estudía?
Are you studying?	¿Tú ta estudía?
Are you studying?	¿Vos ta estudía?
Are you studying?	¿Evos ta estudía?
Aren't you tired?	Hindê tu cansao?
Breathe normally.	Resollá normalmente.
Cows supply milk.	Ta dale leche el maga vaca.
Did the dog bark?	Ya ladrá el perro?
Do you have a TV?	Tiene tu TV?
Do you want wine?	Quiere tu vino?
Don't look at it.	Numá mirá cunese.
Give me the wine.	Dale cumigo el vino.
Give me the wine.	Alcanzá cumigo el vino.
He comes at noon.	Mediodía le ta vené.
He moves quickly.	Ligiero ele mové.
He needs a towel.	Necesita le toalla.
He went far away.	Ya andá le bien lejos.
Her hair is long.	Largo de suyo pelo.
I bought a watch.	Ya comprá yo reloj de mano.
I can't remember.	No puede yo acordá.
I can't remember.	Hindé yo ta acordá.
I closed my eyes.	Ya cerrá yo de mi mga ojos.
I don't eat meat.	Hindé yo ta comé carne.
I drank the wine.	Ya tomá yo cunel vino.
I have to cancel.	Necesita yo cancelá.
I have to change.	Necesita yo cambiá.
I have two books.	Tiene yo dos libro.
I know I'm early.	Sabe yo temprano yo ya llegá.
I know the owner.	Conoce yo cunel dueño.
I made a mistake.	Yan kamalí yo.
I might be wrong.	Baká malí yo.
I sell umbrellas.	Ta vendé yo maga páyung.
I was young once.	Joven yo antes.
I won't be there.	Ay hindé yo abuyá allá.
Is Tom in charge?	Si Tom el encargáo?
Is this your car?	De tuyo esté coche?
Is this your car?	De ustedes esté coche?
It's almost noon.	Cerca ya mediodía.
It's ten to nine.	Diez minutos para alas nueve ya.
Its color is red.	Colorao el color de ese.
Listen carefully.	Oí enbuenamente.
Look at the moon.	Mirá tu cunel luna.
My uncle is rich.	Rico de mío tío.
Now I understand.	Ta entendé ya yo ahora.
She is obstinate.	Durocabeza le.
The door is open.	Abierto el puerta.
The room is dark.	Escuro el cuarto.
The towel is dry.	Seco el toalla.
The towel is wet.	Mojao el toalla.
The wind stopped.	Ya pará el viento.
This isn't funny.	Hindê esté makarisas.
Tom began to run.	Ya principiá corré si Tom.
Tom began to run.	Ya empezá corré si Tom.
Tom eyes widened.	Ya ardé el ojos de Tom.
Tom fed the pigs.	Ya dale comé si Tom cunel maga puerco.
Tom is a fat man.	Gordo gente si Tom.
Tom is breathing.	Ta resollá si Tom.
Tom is terrified.	Tiene miedo si Tom.
Tom isn't inside.	Nuáy adentro si Tom.
Tom was prepared.	Preparáo si Tom.
We just finished.	Nuevo lang kamé ya acabá.
What did you buy?	Cosa tu ya comprá?
What did you say?	Cosa tu ya hablá?
What do you want?	Cosa tu quiere?
What is the news?	Cosa el noticia?
Where is my comb?	Donde ya de mío peine?
Where is the cat?	Donde el gato?
Where's the exit?	Donde el salida?
You are children.	Mga bata kamó.
You can't say no.	No puede tu man hendé.
You have a guest.	Tiene tu visita.
You're so skinny.	Flaco gayot tu.
You're so skinny.	Bien flaco man tu.
Add a little milk.	Aumentá un poco leche.
Birds build nests.	Ta hacé pugarán el maga pajaro.
Breathe in deeply.	Resollá hondo.
Choose one person.	Escogí un gente.
Do they like wine?	Quiere quiere silá vino?
Do you drink wine?	Ta tomá tu vino?
Do you have a car?	Tiene tu coche?
Do you have money?	Tiene tu sen?
Do you know where?	Sabe tu donde?
Do you see a rose?	Ta mirá tu un rosas?
Do you sell fruit?	Ta vendé tu frutas?
Don't wake him up.	No cunele despiertá.
Don't wake him up.	No despertá cunele.
Give me the knife.	Dale cumigo el cuchillo.
Give me the spoon.	Dale cumigo el cuchara.
Hand me the knife.	Alcanzá cumigo el cuchillo.
He does not smoke.	Hindê le ta fumá.
He kissed my neck.	Ya besá le de mío pescuezo.
He started to cry.	Ya principiá le llorá.
Her nails are red.	Colorao de suyo maga uñas.
Her skirt is long.	Largo de suyo falda.
His eyes are blue.	Azul de suyo ojos.
How's your mother?	Que tal de tuyo nana?
I am baking bread.	Ta cucí yo pan.
I ate a hamburger.	Ya comé yo hamburger.
I covered my ears.	Ya tapá yo de mio mga orejas.
I cried all night.	Entero noche yo ya llorá.
I cried all night.	Ya llorá yo entero noche.
I found the money.	Ya encontrá yo cunel dinero.
I found the money.	Ya encontrá yo cunel sen.
I have a blue car.	Tiene yo un coche azul.
I have to find it.	Necesita yo encontrá cunaquel.
I need a calendar.	Necesita yo un calendario.
I saw him running.	Ya mira yo conele ta corre.
I want to be rich.	Quiere yo quedá rico.
I won the lottery.	Ya ganá yo na loto.
I'm all right now.	OK ya yo ahora.
I'm still thirsty.	Uháw pa yo siempre.
I've visited Nara.	Ya visitá yo cun Nara.
Is that your wife?	Amó se de tuyo mujer?
Is that your wife?	Amó se de tuyo esposa?
Is this your wine?	De tuyo esté vino?
Is this your wine?	Este de tuyo vino?
It's not done yet.	Nuáy pa acabá.
It's on the table.	Tallá encima del mesa.
My dogs are white.	Blanco de mio mga perro.
My knife is sharp.	Agudo el cuchillo.
She has long hair.	Tiene le largo pelo.
That won't happen.	Ay hindê se sucedé.
The coffee is hot.	Caliente el café.
The knife is dull.	Mapurúl el cuchillo.
The market is big.	Grande el tiángue.
The party is over.	Ya acabá ya el party.
The sun is rising.	Ta salé ya el sol.
They drank coffee.	Ya tomá silá café.
They kidnapped me.	Ya abductá silá cumigo.
They're using you.	Ta usá silá cuntigo.
Tom borrowed mine.	Ya prestá si Tom el de mío.
Tom coughed again.	Ya tosé olét si Tom.
Tom drinks coffee.	Ta tomá si Tom café.
Tom is undressing.	Ta desnudá si Tom.
Tom loved bananas.	Quiere quiere si Tom ságuing.
Tom seems nervous.	Dol ta nerviá si Tom.
Tom speaks loudly.	Todas tan cuento si Tom.
We can't help Tom.	No puede kamé ayudá cun Tom.
We can't help Tom.	No puede kitá ayudá cun Tom.
What is your name?	¿Cósa es tu nombre?
What is your name?	¿Cósa de usted nombre?
What is your name?	¿Cósa de tu nombre?
What is your name?	¿Cósa de vos nombre?
What is your name?	¿De usted nombre, cósa?
What is your name?	¿De tu nombre, cósa?
What's the number?	Cosa el número?
Where's the bread?	Donde ya el pan?
Where's the knife?	Donde el cuchillo?
Who ate the bread?	Quien ya comé cunel pan?
Who broke the cup?	Quien ya asé quebra conel vaso?
Won't you come in?	Hindé tu entrá?
Wood burns easily.	Pronto quemá el palo.
You can sleep now.	Puede ya tu durmí ahora.
You can't sell it.	No puede tu cunese vendé.
You must hurry up.	Necesita tu apurá.
You must see this.	Necesita tu mirá cuneste.
Are you hungry now?	Cun ambre ya tu?
Are you in a hurry?	Apuráo tu?
Bananas are yellow.	Amarillo el maga ságuing.
Can I get a tattoo?	Puede yo mandá man tatú?
Check the calendar.	Chequeá na calendario.
Do I have to study?	Necesita ba yo estudiá?
Does he have a dog?	Tiene ba ele perro?
Don't ask me again.	Numá cumigo priguntá olet.
Give me the shovel.	Dale cumigo el pala.
He has a long neck.	Tiene le largo pescuezo.
He heard the noise.	Ya oí le el alboroto.
He raised his hand.	Ya alsá le de suyo mano.
He showed it to me.	Ya dale le mirá cumigo aquel.
He started singing.	Ya principiá le cantá.
He went for a walk.	Ya andá le paseá.
He's not my father.	Hindé ele de mío tata.
How is your sister?	Que tal tuyo hermana?
I am not a teacher.	Hinde yo maestro.
I coughed up blood.	Ya tosé yo sangre.
I don't have vodka.	Nuay yo vodka.
I don't want to go.	No quiere yo andá.
I have to eat, too.	Necesita tamén yo comé.
I have to paint it.	Necesita yo pintá cunese.
I have to rehearse.	Necesita yo man-practice.
I have two cousins.	Tiene yo dos primo.
I haven't told Tom.	No hay yo ablá cun Tom.
I know what I want.	Sabe yo cosa yo quiere.
I left my bag here.	Aquí yo ya dejá de mío bag.
I saw the man jump.	Ya mirá yo cunel gente saltá.
I use it every day.	Todo'l dia yo ta usá cunese.
I want a boyfriend.	Quiere yo tené un novio.
I want to help you.	Quiere yo ayudá cuntigo.
I'm angry with her.	Rabiao yo conele.
I'm going in first.	Yo una entrá.
It's not important.	Hindê se importante.
Maybe it was a cat.	Baká gato aquel.
Milk is nutritious.	Nutricioso el leche.
Milk is nutritious.	Ma-sustancia el leche.
My apples are gone.	Perdido de mío maga manzanas.
My legs feel heavy.	Ta sintí yo pesao de mío maga pierna
My legs still hurt.	Ta duelé siempre de mío maga pierna.
No one noticed Tom.	Nuay quien ya golé cun Tom.
Please make coffee.	Favor templá café.
She was born blind.	Ya nacé le bulág.
Shut up and listen.	Callá boca y oí!
Tell me what it is.	Hablá cumigo cosa aquel.
The car hit a tree.	Yam banggá el coche na un ponô.
The car was stolen.	Ya rubá cunel coche.
The coffee is cold.	Frío el café.
The dog is barking.	Ta ladrá el perro.
The knife is dirty.	Mabuling el cuchillo.
The moon is bright.	Claro el luna.
The skirt is green.	Color verde el falda.
The spoon is dirty.	Mabuling el cuchara.
The tree fell down.	Ya tumbá el ponô.
The window is open.	Abierto el ventana.
The woman is naked.	Borles el mujer.
They eat chocolate.	Ta comé silá chocolate.
They're mad at you.	Loco sila contigo.
They're mad at you.	Loco sila con usted.
They're mad at you.	Loco sila con vos.
This fork is dirty.	Mabuling esté tenedor.
This fork is dirty.	Ma-sucio esté tenedor.
This is my bicycle.	Esté de mío bike.
This is my brother.	Este de mio hermano.
Those are my pants.	De mio aquél pantalón.
Tom became nervous.	Ya nerviá si Tom.
Tom freed the bird.	Ya largá si Tom cunel pajaro.
Tom hugged his dog.	Ya abrazá si Tom de suyo perro.
Tom is my neighbor.	Vecinos de mío si Tom.
Tom is on the roof.	Tallá si Tom arriba techo.
Tom is really rich.	Bien rico gayót si Tom.
Tom is still angry.	Rabiáo pa siempre si Tom.
Tom is very stingy.	Bien kuríput si Tom.
Tom kicked the can.	Ya pateá si Tom cunel lata.
Tom needs help now.	Necesita si Tom ayuda ahora.
Tom screamed again.	Ya gritá olét si Tom.
Tom whistled again.	Ya chiplá olét si Tom.
Was that your plan?	Amó aquel de tuyo plano?
We have a surprise.	Tiene kamé sorpresa.
We know what to do.	Sabe kamé cosa hacé.
We must follow Tom.	Debe kamé siguí cun Tom.
We prayed for rain.	Ya resá kamé para cai ulán.
We've done our job.	Ya hacé ya kamé de amon trabajo.
What are those for?	Para cosa esos?
What were you told?	Cosa cuntigo ya hablá?
When can I see you?	Cuando kitá puede man mirahan?
When will you come?	Cuando tu vené?
Where are you from?	¿De dónde usted?
Where are you from?	¿De dónde tú?
Where are you from?	¿De dónde vos?
Where are you from?	¿De dónde evos?
Where are you from?	¿Usted, de dónde?
Where are you from?	¿Tú, de dónde?
Where are you from?	¿Vos, de dónde?
Where are you from?	¿Evos, de dónde?
Where could Tom be?	Donde ya gahá si Tom?
Where do you study?	Donde tu ta entrá escuela?
Where is my pencil?	Donde ya de mío lápiz?
Where's the doctor?	Donde ya el doctor?
Whose book is this?	De quien libro esté?
Whose wine is this?	De quien esté vino?
Why are you crying?	Por que tu ta llorá?
Why do you like it?	Por que tu quiere cunese?
You broke your arm.	Ya quebrá de tuyo braso.
You bumped into me.	Yambanggá tu cumigo.
You look exhausted.	Dol bien cansáo man tu.
You're not like me.	Hindé tu igual cumigo.
You're too nervous.	Nervioso gayót tu.
Are these your keys?	De tuyo esté mga llave?
Can you play guitar?	Sabe tu tocá guitarra?
Can you reach those?	Puede tu alcanzá cunesos?
Climb onto the roof.	Subí na techo.
Did you come for me?	Ya vené tu por causa cumigo?
Do you drink coffee?	Ta tomá tu café?
Do you drink coffee?	Ta tomá ustedes café?
Do you drink coffee?	Ta tomá vosotros café?
Do you have a knife?	Tiene tu cuchillo?
Don't trust anybody.	Numá confiá masquín cun quien.
Don't you feel cold?	Hindé tu ta sintí frio?
Give them my number.	Dale kanila el de mío número.
He boarded the ship.	Ya subí le na barco.
He got on the train.	Ya entrá le na tren.
He is very busy now.	Bien busy gayot le ahora.
He went to the shop.	Ya andá le na tienda.
He's really selfish.	Bien lagák gayót le.
Here's what we know.	Esté el cosa kamé sabe.
I arrived yesterday.	Ayer yo ya llegá.
I climbed the fence.	Ya subí yo na corral.
I did not know this.	Nuáy man yo sabé cunese.
I don't want to cry.	No quiere yo llorá.
I folded the towels.	Ya doblá yo cunel maga toalla.
I have many friends.	Manada yo amigo.
I have to apologize.	Necesita yo pidí disculpá.
I have to help Mary.	Necesita yo ayudá cun María.
I have to thank him.	Necesita yo rindí gracias cunele.
I have to visit Tom.	Necesita yo visitá cun Tom.
I just want to know.	Quiere lang yo sabé.
I know what Tom did.	Sabe yo cosa ya hacé si Tom.
I know you're angry.	Sabe yo rabiao tu.
I said I would help.	Ya hablá yo ayudá yo.
I speak French, too.	Sabe también yo man cuento French.
I tried to help Tom.	Ya pricurá yo ayudá cun Tom.
I want to eat pizza.	Quiere yo comé pizza.
I want to play, too.	Quiere también yo jugá.
I went to the river.	Ya andá yo na río.
I will miss you all.	Ay man miss yo cun ustedes todo.
I'll buy a calendar.	Ay cumprá yo un calendario.
I'll dance with Tom.	Ay bailá kamé dos de Tom.
I'll never tell you.	Nunca yo ay hablá cuntigo.
I'll take you there.	Ay llevá yo cuntigo allá.
I'll wait till noon.	Ay esperá yo hasta mediodía.
I'm bigger than you.	Mas grande yo contra cuntigo.
I'm in the hospital.	Na ospital yo.
I've changed my job.	Ya cambiá yo mío trabajo.
Is it going to rain?	Man ulán gahá?
Is it going to rain?	Ay cáe gahá ulán?
Is it sweet or sour?	Dulce se o ágrio?
Is it windy outside?	Maviento afuera?
It's happened to me.	Ya sucedé ese cumigo.
Let's try this cake.	Prubá kitá cuneste cake.
My fingers are numb.	Intumido de mío maga dedo.
My neck still hurts.	Ta duelé siempre de mío pescuezo.
My wife is a doctor.	Un doctora de mío esposa.
No one believes you.	Nuáy quien ta cré cuntigo.
One fork is missing.	Falta un tenedor.
One of you is lying.	Uno diinyo tan embusterías.
Please drive safely.	Por favor manejá cun cuidáo.
Put the shovel down.	Largá cunel pala.
Put the shovel down.	Poné abajo cunel pala.
Sharpen your pencil.	Amulá de tuyo lápiz.
She has two sisters.	Tiene le dos hermana.
She studies English.	Ta estudiá le inglés.
Should I be jealous?	Necesita ba yo man celos?
Show me the picture.	Dale cumigo mirá el retrato.
Something's burning.	Tiene cosa ta quemá.
Tell us where to go.	Hablá kanamon donde kamé andá.
The new car is hers.	De suyo el nuevo coche.
The ship is sinking.	Ta sumí el barco.
The soup's very hot.	Bien caliente el caldo.
The trees are green.	Verde el mga pono.
There's nobody home.	Nuáy gente na casa.
This apple is sweet.	Dulce este manzanas.
This is Tom's knife.	Cuchillo esté de Tom.
This is not a tiger.	Hinde este tigre.
This is their house.	Éste deíla casa.
This paper is rough.	Makasap este papel.
Tom arrived at 2:30.	Alas 2:30 si Tom ya llegá.
Tom bites his nails.	Ta mordé si Tom de suyo maga uñas.
Tom called the cops.	Ya llamá si Tom cunel mga pulís.
Tom closed his eyes.	Ya cerrá si Tom de suyo mga ojos.
Tom didn't get paid.	Nuáy recibí si Tom cunel pago.
Tom ducked his head.	Ya agachá si Tom de suyo cabeza.
Tom eats like a pig.	Dol puerco si Tom si ta comé.
Tom gave us the key.	Ya dale si Tom el llave kanamon.
Tom has a black dog.	Tiene si Tom un perro negro.
Tom hid his weapons.	Ya escondé si Tom cunel maga armas de suyo.
Tom is a politician.	Político si Tom.
Tom is good-looking.	Pogi si Tom.
Tom licked his lips.	Ya lambé si Tom de suyo mga labios.
Tom sat at his desk.	Ya sintá si Tom na de suyo mesa.
Tom speaks too fast.	Bien paspás gayot man cuento si Tom.
Tom's not breathing.	Hindê ta resollá si Tom.
We need to find Tom.	Necesita kitá encontrá cun Tom.
We need to find Tom.	Necesita kamé encontrá cun Tom.
We're Tom's parents.	Kamé el tata'y nana de Tom.
We've been so lucky.	Bien suerte kitá.
We've been so lucky.	Bien suerte kamé.
We've got a visitor.	Tiene kitá visita.
We've got a visitor.	Tiene kamé visita.
We've got a witness.	Tiene kamé testigo.
What do you call it?	Cosa tu ta llamá cunese?
What's your opinion?	Cosa de tuyo opinión?
When do we get paid?	Cuando kamé recibí el pago?
Where are the forks?	Donde ya el maga tenedor?
Where are the shoes?	Donde ya el maga zapatos?
Where's my umbrella?	Donde ya de mío páyung?
Where's the airport?	Donde parte el aeropuerto?
Who owns this house?	Quien ta dueñá cuneste casa?
Who were those guys?	Quien aquellos mga gente?
Why did you give up?	Por que tu ya rindí?
You can't deny that.	No puede tu negá cunese.
You don't know that.	Nusabe tu cunese.
You saved our lives.	Ya salvá tu diámon vida.
Your friend is here.	Taqui de tuyo amigo.
Add sugar to the tea.	Aumentá azúcar na chá.
Are you still hungry?	Cun hambre pa tu siempre?
Both dogs are asleep.	Ambos magá perro ta durmí.
But you're not there.	Pero no hay tu allá.
Can we come with you?	Puede kamé siguí cuntigo?
Can we come with you?	Puede kamé siguí cun ustedes?
Can we rest a moment?	Puede kitá descansá un rato?
Can we rest a moment?	Puede kamé descansá un rato?
Can you come with me?	Puede tu siguí cumigo?
Can you come with me?	Puede ustedes siguí cumigo?
Can you help me here?	Puede tu ayudá cumigo aquí?
Did I give it to you?	Ya dale yo cuntigo?
Did Tom see anything?	Tiene si Tom cosa ya puede mirá?
Did you buy any eggs?	Ya cumprá tu huevos?
Did you use my knife?	Ya usá tu de mío cuchillo?
Do you know who I am?	Sabe tu quien yo?
Do you like my shoes?	Ya gustá tu de mío sapatos?
Give me another nail.	Dale cumigo otro clavo.
Give me the notebook.	Dale cumigo el cuaderno.
Give us what we want.	Dale kanamon cosa kamé quiere.
He crossed the river.	Ya travesá le na río.
He had fifty dollars.	Tiene le cincuenta dollares.
He has a hairy chest.	Ma-pelo de suyo pecho.
He married my cousin.	Ya casá le de mío prima.
He needs an umbrella.	Necesita le páyung.
He picked up a stone.	Ya pipiná le un piedra.
He works at the bank.	Ta trabajá le na banco.
He's in the hospital.	Talla le na hospital.
He's in the hospital.	Ele na hospital.
He's in the hospital.	Na hospital ele.
He's in the hospital.	Na hospital le.
He's in the hospital.	Ele tallá na hospital.
He's in the hospital.	Tallá le na hospital.
He's in the hospital.	Tallá ele na hospital.
His blood is boiling.	Ta herví de suyo sangre.
How did you get here?	Pakimodo tu ya llegá aquí?
How much is this hat?	¿Cuánto este sombrero?
I ate fish yesterday.	Ya comé yo pescao ayer.
I ate three hot dogs.	Ya comé yo tres hotdog.
I bought an umbrella.	Ya comprá yo un páyung.
I came here with Tom.	Ya vené yo aquí cun Tom.
I closed my umbrella.	Ya cerrá yo de mío páyung.
I don't want to stay.	No quiere yo quedá.
I don't want to stop.	No quiere yo pará.
I don't want to swim.	No quiere yo nadá.
I don't want to wait.	No quiere yo esperá.
I don't want to work.	No quiere yo trabajá.
I forget who said it.	Ya olvidá yo quien ya hablá cunaquel.
I have a sharp knife.	Tiene yo un cuchillo agudo.
I have to wear boots.	Necesita yo usá botas.
I love fried bananas.	Quiere gayot yo frito ságuing.
I made a paper plane.	Ya hacé yo eroplano de papel.
I saw Tom last night.	Ya mirá yo cun Tom anoche.
I saw a sleeping dog.	Ya mirá yo un perro durmido.
I want you to use it.	Quiere yo usá tu cunese.
I'll be home by noon.	Taquí ya yo mediodía.
I'll get you a towel.	Ay sacá yo toalla para cuntigo.
I'll get you a towel.	Anda yo sacá toalla cuntigo.
