Hello!	哈佬。
He's not an idiot.	佢唔係傻仔。
He's not an idiot.	佢唔係傻㗎。
He's not an idiot.	佢唔係白癡。
Here's some water.	呢度有啲水。
How could this be?	有冇搞錯啊。
I am a vegetarian.	我係食齋嘅。
I am not Canadian.	我唔係加拿大人。
I cried all night.	我喊咗成晚。
I forgot his name.	我唔記得咗佢叫咩名。
I hope to make it.	我希望做到。
I like my friends.	我好鍾意我班朋友。
I owe him 100 yen.	我爭佢一百円。
I saw him running.	我見到佢喺度跑步。
I'm feeling dizzy.	我個頭好暈。
I'm not ready yet.	我仲未準備好。
I'm on my way out.	我出緊嚟。
It's easy to sing.	唱歌好易。
It's on the table.	佢喺張檯度。
It's on the table.	喺張檯度。
She began to sing.	佢開始唱歌。
She must go there.	佢一定要去嗰度。
She must go there.	佢需要過去。
Tom is on his way.	阿Tom嚟緊喇。
Tom is optimistic.	阿Tom份人好樂觀。
What's that sound?	咩聲嚟？
When are you free?	你幾時得閒呀？
When was she born?	佢幾時出世㗎？
Where is the pain?	邊度痛呀？
Who is that woman?	嗰個女人係邊個嚟㗎？
Why are you alone?	你做咩一個人呀？
Wow! That's cheap!	嘩！咁抵？！
You have to hurry.	你要趕喇喎。
You may go in now.	你而家可以入去喇。
You shouldn't lie.	你唔應該講大話。
Your book is here.	你本書喺呢度。
Anyone can do that.	係人都做到啦。
Do you smell smoke?	你聞唔聞到有浸煙味？
Don't laugh at him.	唔好笑佢啦。
Don't throw stones.	唔好掟石頭。
Get me up at eight.	唔該你八點叫我起身吖。
He is playing golf.	佢喺度打緊哥爾夫球。
He kicked me twice.	佢踢咗我兩腳。
He sat next to her.	佢坐咗喺佢隔籬。
Help is on the way.	有人嚟緊幫手㗎喇。
I almost forgot it.	我爭啲唔記得咗。
I bought a new bag.	我買咗個新袋。
I can barely stand.	我連企都唔係好企得穩。
I can't forget her.	我忘記唔到佢。
I don't have a cat.	我冇養貓。
I have no appetite.	我冇胃口。
I heard explosions.	我聽到爆炸聲。
I made my decision.	我已經決定咗喇。
I'm about to leave.	我就快走喇。
I'm afraid of owls.	我好驚貓頭鷹。
I'm not a magician.	我唔係魔術師。
I'm your boyfriend.	我係你男朋友。
I'm your boyfriend.	我係你條仔。
I've heard nothing.	我咩都聽唔到喎。
Is breakfast ready?	早餐準備好未呀？
Is this your house?	呢間係咪你間屋？
It is almost three.	就快三點喇。
My brother is rich.	我阿哥好有錢。
My brother is rich.	我細佬好有錢。
Skiing is very fun.	滑雪好好玩㗎。
That doll is scary.	嗰個公仔好恐怖。
The boy is jumping.	嗰男仔跳緊。
This house is mine.	呢間屋係我嘅。
Tom didn't give up.	Tom冇放棄。
Tom has three dogs.	Tom 有三隻狗。
Tom is really good.	Tom真係好好。
Tom is really good.	Tom真係好勁。
Tom isn't here yet.	Tom未到。
Tomorrow is Sunday.	聽日係星期日。
Was the movie good?	套戲好唔好睇呀？
We are watching TV.	我哋喺度睇緊電視。
We need to find it.	我哋要搵佢。
We really miss Tom.	我哋真係好掛住阿Tom。
When will it begin?	幾時開始㗎？
Where can I buy it?	我喺邊度可以買到？
Where does he live?	佢屋企喺邊？
Where does he live?	佢住喺邊？
Where's the toilet?	廁所喺邊？
Why are you crying?	你做咩喊呀？
Will you help them?	你會唔會幫佢哋？
You did not say so.	你以前唔係噉講㗎喎。
You need to resign.	你需要辭職。
You'll regret this.	你一定會後悔㗎。
Your place or mine?	你屋企定我屋企？
Are you still angry?	你仲嬲緊呀？
Bunnies are so cute.	兔仔真係太可愛喇。
Do you like singing?	你鍾唔鍾意唱歌？
Do you like to sing?	你鍾唔鍾意唱歌？
Do you speak French?	你識唔識講法文㗎？
Does she play piano?	佢識唔識彈鋼琴㗎？
Excuse me, I'm lost.	唔好意思，我蕩失咗路。
Guess how tall I am.	你估吓我有幾高？
He crossed his legs.	佢翹埋對腳。
Her bicycle is blue.	佢架單車係藍色嘅。
His family is large.	佢屋企好多人。
How was your summer?	夏天過成點呀？
I arrived too early.	我太早到。
I decided not to go.	我決定唔去。
I didn't do a thing.	我乜都冇做。
I don't like coffee.	我唔鍾意飲咖啡。
I forgot to ask him.	我唔記得問佢添。
I got married again.	我又結咗婚喇。
I have but one wish.	我淨係得一個心願。
I like light colors.	我鍾意啲淺啲嘅色。
I must be on my way.	我要行喇。
I wanna quit my job.	我想辭咗份工佢。
I wanna quit my job.	我唔想撈喇。
I'll let you decide.	我俾你決定啦。
I'm dying of thirst.	我口渴到死。
I'm still in school.	我仲讀緊書。
I'm waiting for him.	我等緊佢。
It's the same thing.	咪一樣嘅嘢。
It's the same thing.	一樣嘅嘢嚟。
My sister is pretty.	我阿妹好靚。
Nobody can stop Tom.	冇人可以阻止Tom。
Now it's your serve.	到你開波喇。
Old habits die hard.	本性難移。
Old habits die hard.	江山易改，本性難移。
She can't cook well.	佢唔係好識煮飯。
Tell her to call me.	叫佢打電話俾我。
That's just a guess.	估估吓㗎咋。
The button came off.	粒鈕甩咗出嚟。
The street was dark.	條街好暗。
Tom decided to stay.	Tom決定咗留低。
Tom will get killed.	Tom會被人殺。
Tom will get killed.	Tom會死。
We sat in the front.	我哋坐咗喺前排。
What was that noise?	咩聲嚟㗎？
Where is the toilet?	廁所喺邊呀？
Where is the toilet?	洗手間喺邊？
Where is the toilet?	廁所喺邊？
Which book is yours?	邊本書係你㗎？
Who broke the plate?	邊嗰打爛隻碟？
Why didn't you come?	你做咩無嚟到嘅？
You look very tired.	你好似好攰咁喎。
Are you free tonight?	你今晚得唔得閒呀？
Can I turn on the TV?	你介唔介意我開電視呀？
Do you have a pencil?	你有冇鉛筆呀？
Do you have any pets?	你有冇養寵物㗎？
Do you live in Tokyo?	你係咪喺東京住㗎？
Do you speak English?	你識唔識講英文㗎？
Get that book for me.	攞嗰本書俾我吖。
He did nothing wrong.	佢無做錯。
He gets tired easily.	佢好易攰。
He has a hairy chest.	佢心口好多毛。
He laid down the gun.	佢放低咗枝槍。
He will be back soon.	佢好快就會返嚟㗎喇。
How much is this tie?	呢條呔幾多錢呀？
I am drinking coffee.	我飲緊咖啡。
I am fond of reading.	我鍾意睇書。
I am terribly hungry.	我真係好肚餓。
I am terribly hungry.	我餓死喇。
I broke your ashtray.	我打爛咗你個煙灰缸。
I can tell you later.	我遲啲話你知。
I can't speak French.	我唔識講法文。
I have a sore throat.	我喉嚨痛。
I have a stomachache.	我個肚好痛。
I have been to Kyoto.	我去過京都。
I have read the book.	我睇咗本書喇。
I like reading books.	我鍾意睇書。
I love reading books.	我鍾意睇書。
I made a paper plane.	我摺咗隻紙飛機。
I met Tom on the way.	我途中撞到阿Tom。
I miss you very much.	我好掛住你。
I need a few minutes.	俾幾分鐘時間我。
I think I understand.	我諗我明㗎喇。
I think you panicked.	我覺得你驚咗。
I'll buy you a drink.	我請你飲嘢吖。
I'm feeling stressed.	我覺得好大壓力。
I'm not in on Sunday.	我星期日唔喺屋企。
Is she a taxi driver?	佢係咪的士司機嚟㗎？
Kids grow up so fast.	啲細路真係大得好快。
Let me take you home.	我送你返屋企啦。
Let's go by taxi, OK?	我哋搭的士去啦，好冇？
Let's go by taxi, OK?	我哋飛的去啦，好冇？
My camera was stolen.	我部相機俾人撻咗。
My sister is a nurse.	我呀妹係護士。
No, I don't think so.	我唔覺得係。
No, I don't think so.	我唔覺得係噉。
Our store isn't open.	我哋間舖頭閂咗門。
Please open the door.	唔該你打開道門吖。
She gets up at seven.	佢朝頭早七點起咗身。
That changes nothing.	噉改變唔到任何嘢。
They aren't my books.	呢啲書唔係我嘅。
They're fast runners.	佢哋跑得好快。
They're on their way.	佢哋嚟緊喇。
This knife cuts well.	呢把刀好利。
Tom isn't interested.	Tom冇興趣。
We'll eat on the way.	我哋一路行一路食啦。
We've run out of tea.	我哋冇晒茶喇。
What am I to do next?	我而家點做好呢？
What happened to you?	搞咩呀你？
What happened to you?	你咩事呀？
What's his real name?	佢個真名係咩？
What's that building?	嗰座係咩建築物嚟㗎？
Where are my glasses?	我副眼鏡喺邊呀？
Where is your father?	你阿爸喺邊呀？
Where is your school?	你間學校喺邊呀？
Why do you know that?	你點解會知嘅？
Are they still in bed?	佢哋仲未起身呀？
Are you talking to me?	你同我講緊嘢呀？
Can you speak English?	你識唔識講英文㗎？
Come to lunch with us.	同我哋一齊食晏啦。
Could you repeat that?	你可唔可以講多次呀？
Do you have a lighter?	你有冇打火機呀？
Do you really love me?	你係咪真係鍾意我㗎？
Dog food is expensive.	狗糧好貴。
Don't act like a jerk.	唔好咁仆街啦。
Don't be fooled again.	唔好再俾人呃喇。
Don't drink and drive.	飲咗酒唔好揸車。
Don't drink and drive.	唔好酒後駕駛。
Don't forget about us!	唔好唔記得我哋呀！
Don't open the window.	唔好開窗。
Don't slip on the ice.	唔好喺冰上面跣親呀。
Don't tell anyone yet.	唔好話俾人聽住。
Don't walk home alone.	唔好自己一個行返屋企。
Don't you feel hungry?	你唔肚餓嘅咩？
He adopted the orphan.	佢領養咗嗰個孤兒。
He proved to be a spy.	佢證實咗係間諜。
He was sick last week.	佢上個禮拜病咗。
How could you help me?	你可以點樣幫到我？
How difficult is that?	有幾難呀？
I can't find my watch.	我隻錶唔知擺咗去邊。
I can't stop sneezing.	我打乞嗤打到停唔到。
I don't have a ticket.	我冇飛。
I gave him my address.	我俾咗我個地址佢。
I have to go to sleep.	我要去瞓覺喇。
I know Tom quite well.	我同阿Tom都幾熟吓。
I like playing tennis.	我鍾意打網球。
I love talking to you.	我好鍾意同你講嘢。
I met your girlfriend.	我見過你女朋友。
I shave every morning.	我每朝早都會剃鬚。
I will drive you home.	我揸車送你返屋企啦。
I wish I'd known that.	如果我早啲知道就好喇。
I'm a college student.	我係大學生。
I'm a college student.	我讀緊大學。
I've been rather busy.	我呢排都幾忙吓。
I've lost my appetite.	我冇胃口食飯。
Is it OK to sing here?	呢到可唔可以唱歌㗎？
Is that today's paper?	嗰份報紙係咪今日㗎？
Is this your umbrella?	呢把遮係咪你㗎？
Is your watch correct?	你隻錶準唔準㗎？
It was expensive, too.	仲好貴添。
She decided to resign.	佢決定辭職。
She is a good swimmer.	佢游水游得好叻。
That cost him his job.	呢件事搞到佢冇咗份工。
That's just an excuse.	呢個只不過係個藉口。
That's not surprising.	唔出奇吖。
The cat ate the mouse.	隻貓食咗隻老鼠。
The pie was delicious.	個批好好食。
The station is nearby.	車站就喺呢度附近。
The sun is going down.	太陽落緊山。
The sun is going down.	日落喇。
They bought a new car.	佢哋買咗架新車。
They tried to kill me.	佢哋嘗試殺我。
They've changed a lot.	佢哋改變咗好多。
This is a free ticket.	呢張係一張免費飛。
This spoon is for tea.	呢支羹係愛嚟俾茶用嘅。
This spoon is for tea.	呢支匙羹係俾茶用嘅。
Tom is my old partner.	Tom係我舊拍檔。
Tom is not old enough.	Tom未夠大。
We named the cat Mimi.	我哋幫隻貓改咗個名，叫做 Mimi。
We rested for a while.	我哋唞咗一陣。
We're on our way home.	我哋返緊屋企。
What are the symptoms?	有啲咩病徵㗎？
What did you do there?	你喺嗰度做咗啲咩呀？
What is on Channel 10?	第十台喺度播緊啲咩呀？
What size do you wear?	你著咩嘥士㗎？
What's the difference?	有咩唔同呀？
When will you be back?	你幾時返嚟呀？
Who did you come with?	你係同邊個一齊嚟㗎？
Who is standing there?	企喺度嗰個邊個嚟？
Whose books are these?	啲書邊個㗎？
Will it rain tomorrow?	聽日會唔會落雨㗎？
You should smoke less.	你應該食少啲煙。
You're taller than me.	你高過我。
Your hair is too long.	你啲頭髮長得濟。
"Who is it?" "It's me."	「邊個呀？」「我呀。」
Are you in a good mood?	你心情靚唔靚呀？
Can you say that again?	你可唔可以講多次呀？
Did you enjoy the film?	套戲好唔好睇呀？
Did you enjoy yourself?	你玩得開唔開心呀？
Do as I told you to do.	我叫你點做，你就點做。
Give me a call tonight.	今晚打俾我啦。
He asked me a question.	佢問咗我一條問題。
He lives near my house.	佢住喺我屋企附近。
He ordered a chop suey.	佢叫咗碟炒雜碎。
He robbed me of my bag.	佢搶咗我個袋。
He still remembers you.	佢仲記得你。
He tore the book apart.	佢撕爛咗本書。
He turned on the radio.	佢開着咗部收音機。
I am eating a cucumber.	我食緊青瓜。
I can't be without you.	我唔可以冇咗你。
I can't stand the heat.	好熱呀，我就嚟頂唔順喇。
I cried all night long.	我喊咗成晚。
I drank too much again.	我又飲多咗喇。
I got on the wrong bus.	我上錯咗巴士。
I heard that he'd died.	聽講佢死咗。
I just got a good idea.	我啱啱諗到條正橋。
I love that commercial.	我好鍾意嗰個廣告。
I prefer milk to juice.	我鍾意飲牛奶多過飲果汁。
I shook hands with her.	我同佢握咗手。
I thought it went well.	我覺得啱啱幾好吖。
I want you to sit down.	我想你坐低。
I was watching TV then.	我嗰陣喺度睇緊電視。
I wasn't fired. I quit.	我唔係俾人炒魷魚，係自己劈炮唔撈嘅。
I won't disappoint you.	我唔會令你失望。
I'm dying to see Paris.	我真係好想去巴黎睇吓。
Is her father a doctor?	佢阿爸係咪醫生嚟㗎？
Is his father a doctor?	佢阿爸係咪醫生嚟㗎？
Is that a cat or a dog?	嗰隻貓定係狗嚟㗎？
It has started to rain.	開始落雨喇。
It's ten o'clock sharp.	而家係十點踏正。
It's time to go to bed.	夠鐘上床瞓覺喇。
May I borrow your bike?	我可唔可以借你架單車嚟用吓呀？
My stomach is growling.	我個肚喺度咕咕叫。
No one listens anymore.	冇人會再聽㗎喇。
Please don't bother me.	唔該你唔好煩我。
She is very photogenic.	佢好上鏡。
She runs a beauty shop.	佢開美容院。
She was moved to tears.	佢感動到喊咗。
She's learning to swim.	佢學緊游水。
Staying home isn't fun.	吽喺屋企一啲都唔好玩。
The woman is beautiful.	個女人好靚。
They are a good couple.	佢哋好襯。
This apple tastes sour.	呢粒蘋果好酸。
This pen belongs to me.	呢支筆係我㗎。
This spoon is for soup.	呢支匙羹係飲湯用嘅。
This spoon is for soup.	呢支羹係愛嚟飲湯嘅。
Tom looks pretty young.	Tom望落幾後生。
Where are you guys now?	你哋而家喺邊？
Who did you give it to?	你俾咗邊個呀？
Whose notebook is that?	嗰本簿係邊個㗎？
Will you take me there?	你可唔可以帶我去呀？
"Shut up," he whispered.	「咪嘈啦！」佢細細聲噉講。
Are you free on Tuesday?	你星期二得唔得閒呀？
Can I borrow your radio?	可唔可以借你部收音機俾我呀？
Can you play the violin?	你識唔識拉小提琴㗎？
Can you read this kanji?	你識唔識讀呢個漢字呀？
Did you push the button?	你有冇㩒到個掣呀？
Do you have cough drops?	你有冇喉糖呀？
Do you like eating fish?	你鍾唔鍾意食魚㗎？
Do you really mean that?	你認真㗎？
Does she play the piano?	佢識唔識彈琴㗎？
Does she play the piano?	佢識唔識彈鋼琴㗎？
Don't get your hopes up.	唔好咁有希望。
Have you called her yet?	你打咗電話俾佢未呀？
He doesn't eat raw fish.	佢唔食生魚。
He sometimes watches TV.	佢有時會睇電視。
He will always love her.	佢永遠都會咁愛佢。
He'll be a good husband.	佢會係一個好老公。
He'll lend you his book.	佢會借佢本書俾你。
How long is this pencil?	呢支鉛筆有幾長呀？
How much does that cost?	嗰個幾錢？
I could hardly hear him.	我聽唔到佢咁濟。
I couldn't do otherwise.	我冇第二啲方法。
I don't even know where.	我連係邊度嚟都唔知。
I don't like spicy food.	我唔鍾意食辣。
I feel like throwing up.	我想嘔。
I fell in love with you.	我愛上咗你。
I have another question.	我仲有一條問題。
I like grape jelly best.	我最鍾意食提子啫喱。
I love studying history.	我好鍾意讀歷史。
I take back what I said.	我收返我頭先講過嘅嘢。
I think I can handle it.	我諗我搞得掂㗎喇。
I think it could happen.	我覺得會發生。
I want something to eat.	我想食啲嘢。
I want to be a magician.	我想做魔術師。
I want to eat something.	我想食啲嘢。
I went to Kobe by train.	我搭火車去咗神戶。
I wish we had more time.	如果我哋有多啲時間咪好囉。
I'm sorry if I woke you.	唔好意思呀，我係咪嘈醒咗你呀？
I'm waiting for a reply.	我等緊回覆。
It's fun to knead dough.	搓麵粉好好玩㗎。
Most of the plants died.	啲植物大部分都枯死咗。
Must I go there at once?	我係咪一定要即刻去呀？
My father has been busy.	我老豆呢排好忙。
My mother gets up early.	我阿媽好早起身。
My mother made me a bag.	我阿媽整咗個袋俾我。
Nara is as old as Kyoto.	京都同奈良兩座城都有好耐歷史。
The bus hasn't come yet.	架巴士仲未嚟。
They are about to start.	佢哋就開始。
This cloth feels smooth.	呢塊布摸上手好滑。
This is all that I know.	我知道嘅就係得咁多。
This looks kind of cute.	好似好得意噃。
Tom is my older brother.	Tom係我呀哥。
Tom is my older brother.	Tom係我哥哥。
Tom is not fond of pets.	阿Tom唔鍾意寵物。
Tomorrow is my birthday.	聽日係我生日。
We have a cat and a dog.	我哋養咗一隻貓同埋一隻狗。
We have no school today.	我哋今日唔使返學。
What are you looking at?	望咩呀望？
What are you looking at?	你望咩啫？
What do you want to eat?	你想食啲咩呀？
What does SFX stand for?	SFX 啫係咩呀？
Who is that pretty girl?	嗰個靚女係邊個嚟㗎？
You should study harder.	你應該努力啲讀書。
You're driving too fast.	你揸得太快喇。
You're no match for him.	你唔夠佢鬥㗎喇。
"Can I join you?" "Sure."	“一齊得唔得呀？” “得。”
Did you go to the doctor?	你去睇咗醫生未呀？
Did you sew this by hand?	呢個係咪你親手縫㗎？
Do not play with the key.	唔好玩條匙啦。
Do not play with the key.	咪玩條鎖匙啦。
Give me a coffee, please.	唔該俾杯咖啡我吖。
Have you made a decision?	你決定咗未呀？
He did not die of cancer.	佢唔係癌症死㗎。
He fell in love with her.	佢鍾意咗佢。
He showed me his new car.	佢俾咗佢架新車我睇。
He tasted the cheesecake.	佢試咗啖芝士蛋糕。
He wrote a book on China.	佢寫咗一本關於中國嘅書。
Here is a letter for you.	呢封信係俾你㗎。
I can't thank you enough.	感激不盡。
I can't thank you enough.	真係唔知點多謝你好。
I could not speak to him.	我同唔到佢講嘢。
I don't care if it snows.	我唔care落唔落雪。
I don't know for certain.	我唔肯定。
I had two cups of coffee.	我飲咗兩杯咖啡。
I like playing the piano.	我好鍾意彈琴。
I like to eat watermelon.	我好鍾意食西瓜。
I met him on my way home.	我返屋企嗰陣撞到佢。
I ordered two hamburgers.	我叫咗兩個漢堡包。
I was waiting for a taxi.	我等緊的士。
I've lost about 80 cents.	我唔見咗大概八毫子。
Is the rat alive or dead?	隻老鼠生定死架？
It's because he got lost.	因為佢蕩失路。
Let me think for a while.	俾我諗陣先。
Let's see what we can do.	睇吓我哋可以做到啲咩啦。
May I ask where you work?	我想問吓你喺邊度做嘢㗎？
May I ask you a question?	可以問個問題嘛？
May I eat a little of it?	我可唔可以食少少呀？
My father died of cancer.	我老豆係生cancer死嘅。
My father is always busy.	我個老豆成日都好忙。
No wonder he is so angry.	唔怪得佢咁嬲啦。
She didn't read the book.	佢冇睇到嗰本書。
She disliked her husband.	佢唔鍾意佢老公。
She goes to night school.	佢讀夜校。
The boy fell off the bed.	個細路喺張床度跌咗落嚟。
The food is getting cold.	啲嘢食凍喇。
The soup is terribly hot.	碗湯辣到噴火。
This is my email address.	呢個係我個電郵地址。
This isn't a competition.	而家唔係比賽。
Tom hasn't been so lucky.	阿Tom就冇咁好彩喇。
Tom is able to swim well.	阿Tom游水好勁。
Turtles don't have teeth.	龜係冇牙㗎。
We buy eggs by the dozen.	雞蛋係一打一打咁買嘅。
We discussed the problem.	我哋傾咗嗰個問題。
We elected him president.	我哋選咗佢做總統。
We need to pay attention.	我哋要專心。
When will you ever learn?	你幾時先肯學精唧？
Who are you referring to?	你講緊邊個呀？
Will you make it in time?	你會唔會準時到㗎？
You came out of the room.	你喺間房度走咗出嚟。
You're the reason I came.	我係因為你先嚟㗎咋。
Are you free this weekend?	你今個禮拜六日得唔得閒呀？
Bring the water to a boil.	煲滾啲水。
Do you have a double room?	我想問吓有冇雙人房呀？
Do you like Japanese food?	你鍾唔鍾意食日本嘢㗎？
Does the room have a bath?	間房有無浴缸㗎？
Either you or he is wrong.	一係你錯，一係佢錯。
Everything is upside down.	啲嘢掉轉曬。
Everything is upside down.	乜都掉轉曬。
Everything is upside down.	所有嘢掉轉曬。
Have you been busy lately?	你最近忙唔忙呀？
He asked me if I was busy.	佢問我係咪好忙。
He asked me two questions.	佢問咗我兩條問題。
He came down to breakfast.	佢落咗嚟食早餐。
He caught hold of my hand.	佢捉住我隻手。
He fixed the watch for me.	佢幫我整好咗隻錶。
He has a house of his own.	佢自己有間屋。
He takes after his father.	佢同佢阿爸好似樣。
He wants you to stay here.	佢想你留喺呢度。
Her name often escapes me.	我成日都醒唔起佢個名。
His request is as follows.	佢嘅要求如下。
How did your interview go?	你面試面成點呀？
I am watering the flowers.	我喺度幫緊啲花淋水。
I arrived there too early.	我太早到。
I ate a hot dog for lunch.	我食咗隻熱狗做午餐。
I didn't ask Tom for help.	我冇搵阿Tom幫手。
I didn't want to help Tom.	我唔想幫阿Tom。
I don't forget my friends.	我唔會唔記得我啲朋友。
I don't like men like him.	我唔鍾意佢呢種人。
I don't like paying taxes.	我唔鍾意交稅。
I don't need a babysitter.	我唔使保母。
I hear you have been sick.	聽講話你病咗喎。
I knew Tom would ask that.	我知道阿Tom會咁問。
I know Tom didn't do this.	我知道呢件事唔係阿Tom做嘅。
I speak a little Japanese.	我識講少少日文。
I usually get up at eight.	我通常八點起身。
I usually go home at four.	我通常四點返屋企。
I want to eat out tonight.	我今晚想出街食飯。
I'd better drive you home.	我都係車你返屋企啦。
I'd like a glass of water.	唔該俾杯水我吖。
I'm not sure of it either.	我都唔係好肯定。
I'm very happy to see you.	我見到你真係好開心。
I've got to see a dentist.	我要去睇吓牙醫喇。
It is quiet here at night.	呢度夜晚好靜。
It really depends on when.	真係要睇吓幾時喎。
It snowed a lot last year.	舊年落咗好多雪。
Lend me your book, please.	唔該借你本書俾我吖。
Let me tell you something.	我講啲嘢俾你聽吖。
My mobile has been stolen.	我部手提電話俾人撻咗。
No one goes there anymore.	冇人會再去嗰度喇。
No wonder he was arrested.	唔怪得佢俾人拉咗啦。
On my way home, I met him.	我返緊屋企嗰陣撞到佢。
Playing golf is great fun.	哥爾夫球好好玩㗎。
Please give me an ashtray.	畀個煙灰缸我吖唔該。
Please lend me your knife.	唔該你借把刀俾我吖。
She cut the apple in half.	佢將個蘋果切開咗兩分。
She is a very poor driver.	佢唔係好識揸車。
She likes taking pictures.	佢鍾意影相。
Snow fell in large flakes.	啲雪一大片一大片噉落咗落嚟。
Staying at home is boring.	留喺屋企好悶。
There's a hole in my coat.	我件褸穿咗個窿。
This TV was made in China.	呢部電視係中國製造嘅。
Tom is a very good friend.	阿Tom係一個好好嘅朋友。
We painted the door green.	我哋將道門油咗做綠色。
We'll meet in three hours.	我哋三個鐘之後見啦。
What shall we eat tonight?	我哋今晚食咩好呀？
What's your date of birth?	你生日幾多號？
Who are you talking about?	你講緊邊個呀？
Who is playing the guitar?	邊個喺度彈結他呀？
Why are you so interested?	點解你咁有興趣嘅？
Why didn't Tom wake me up?	點解阿Tom唔叫我起身嘅？
Why didn't you believe me?	你點解唔信我呀？
