Go.	Gå!
Pipe down.	Hold mund!
Pipe down.	Ti stille!
Pipe down.	Klap i!
Start now.	Begynd nu.
Start now.	Start nu.
Take mine.	Tag min.
Thank you.	Mange tak.
Thank you.	Tak.
Turn left.	Drej til venstre.
Wait here.	Vent her.
We waited.	Vi ventede.
We'll see.	Vi får se.
Who is he?	Hvem er han?
Who knows?	Hvem ved?
Who's Tom?	Hvem er Tom?
Am I wrong?	Tager jeg fejl?
Are you up?	Er du stået op?
Ask anyone.	Spørg hvem som helst.
Be careful.	Vær forsigtig!
Be careful.	Pas på!
Birds sing.	Fugle synger.
Can I help?	Kan jeg være til hjælp?
Can I help?	Kan jeg hjælpe?
Duty calls.	Pligten kalder.
Fire burns.	Ild brænder.
Forgive us.	Tilgiv os.
God exists.	Gud eksisterer.
He is a DJ.	Han er en dj.
He is a DJ.	Han er en DJ.
He is sick.	Han er syg.
He's cruel.	Han er grusom.
He's lying.	Han lyver.
Here he is!	Her er han!
I am a man.	Jeg er en mand.
I am a man.	Jeg er et menneske.
I am bored.	Jeg keder mig.
I am happy.	Jeg er lykkelig.
I am sorry.	Jeg er ked af det.
I am tired.	Jeg er træt.
I doubt it.	Det tvivler jeg på.
I eat meat.	Jeg spiser kød.
I feel old.	Jeg føler mig gammel.
I got lost.	Jeg for vild.
I got lost.	Jeg fór vild.
I have one.	Jeg har en.
I have one.	Jeg har én.
I just ate.	Jeg har lige spist.
I just ate.	Jeg har netop spist.
I miss you.	Jeg savner dig.
I need you.	Jeg har brug for dig.
I need you.	Jeg har brug for jer.
I sat down.	Jeg satte mig.
I think so.	Jeg tror det.
I was busy.	Jeg havde travlt.
I was busy.	Jeg var optaget.
I work out.	Jeg træner.
I work out.	Jeg motionerer.
I work out.	Jeg dyrker motion.
I'm a hero.	Jeg er en helt.
I'm a twin.	Jeg er en tvilling.
I'm better.	Jeg er bedre.
I'm buying.	Jeg køber.
I'm eating.	Jeg er ved at spise.
I'm eating.	Jeg spiser.
I'm eating.	Jeg sidder og spiser.
I'm hungry!	Jeg er sulten!
I'm hungry.	Jeg er sulten.
I'm hungry.	Jeg er sulten!
I'm so fat.	Jeg er så tyk.
I'm thirty.	Jeg er tredive.
I'm twelve.	Jeg er tolv.
Is it blue?	Er den blå?
Is it blue?	Er det blåt?
Is it free?	Er den gratis?
Is it free?	Er det gratis?
It is cold.	Det er koldt.
It's my CD.	Det er min cd.
Let me see.	Lad mig se.
Never mind!	Blæse være med det!
Never mind!	Bryd dig ikke om det!
No kidding?	Er det rigtigt?
No kidding?	Er det sandt?
Quiet down.	Tag det roligt!
Say please.	Sig: "Bed om."
She is old.	Hun er gammel.
She smiled.	Hun smilede.
She smiled.	Hun smilte.
Sing along.	Syng med!
Stop lying.	Hold op med at lyve.
Take a nap.	Tag en lur.
Take cover!	Søg dækning!
Take cover!	Gå i dækning!
Taste this.	Smag dette.
Tom phoned.	Tom telefonerede.
Tom phoned.	Tom har ringet.
Tom phoned.	Tom ringede.
Tom's here.	Tom er her.
Tom's sick.	Tom er syg.
We are men.	Vi er mænd.
What a day!	Sikke en dag!
What is it?	Hvad er det?
Who did it?	Hvem har gjort det?
Who did it?	Hvem gjorde det?
Who is Tom?	Hvem er Tom?
Wood burns.	Træ brænder.
All is well.	Alt er godt.
Are you mad?	Er du gal?
Can we help?	Kan vi hjælpe?
Clean it up.	Gør det rent.
Do it again!	Gør det igen!
Do it again.	Gør det igen.
Don't do it.	Gør det ikke.
Don't leave.	Gå ikke.
Don't shoot!	Skyd ikke!
Don't shoot.	Skyd ikke!
Don't worry.	Gør dig ingen bekymringer.
Have we met?	Kender vi hinanden?
He can swim.	Han kan svømme.
He helps us.	Han hjælper os.
He is drunk.	Han er fuld.
He is lying.	Han lyver.
He's strong.	Han er stærk.
Help me out.	Hjælp mig.
Help me out.	Kom mig til hjælp.
How are you?	Hvordan har du det?
How strange!	Hvor mærkeligt!
I am a monk.	Jeg er en munk.
I am a monk.	Jeg er munk.
I am a twin.	Jeg er en tvilling.
I am better.	Jeg er bedre.
I am coming.	Jeg kommer.
I am eating.	Jeg er ved at spise.
I am eating.	Jeg spiser.
I am eating.	Jeg sidder og spiser.
I am hungry.	Jeg er sulten.
I am hungry.	Jeg er sulten!
I confessed.	Jeg tilstod.
I confessed.	Jeg skriftede.
I hate sand.	Jeg hader sand.
I have wine.	Jeg har vin.
I like dogs.	Jeg kan lide hunde.
I like jazz.	Jeg kan lide jazz.
I live here.	Jeg bor her.
I live here.	Jeg lever her.
I lost face.	Jeg har tabt ansigt.
I love beef.	Jeg elsker oksekød.
I saved you.	Jeg har reddet dig.
I saved you.	Jeg har reddet jer.
I saw a UFO.	Jeg så en ufo.
I saw a dog.	Jeg så en hund.
I trust him.	Jeg stoler på ham.
I was bored.	Jeg kedede mig.
I was lucky.	Jeg var heldig.
I was lying.	Jeg løj.
I was lying.	Jeg lå.
I went home.	Jeg gik hjem.
I won again.	Jeg vandt igen.
I work here.	Jeg arbejder her.
I'll go now.	Jeg går nu.
I'm Finnish.	Jeg er finsk.
I'm a child.	Jeg er et barn.
I'm a nurse.	Jeg er en sygeplejerske.
I'm a nurse.	Jeg er sygeplejerske.
I'm at home.	Jeg er hjemme.
I'm curious.	Jeg er nysgerrig.
I'm jealous.	Jeg er jaloux.
I'm married.	Jeg er gift.
I'm not Tom.	Jeg er ikke Tom.
I'm not old.	Jeg er ikke gammel.
I'm thirsty.	Jeg er tørstig.
Is it yours?	Er det din?
Is it yours?	Er det jeres?
It can't be!	Umuligt!
It is there.	Den er der.
It's Monday.	Det er mandag.
It's a joke.	Det er en joke.
It's boring.	Det her er kedeligt.
Let me help.	Lad mig hjælpe til.
Let's begin.	Lad os begynde.
Let's begin.	Lad os gå i gang.
Let's go in.	Lad os gå ind.
Lunch is on.	Frokosten er klar.
Nobody lied.	Ingen løj.
Send Tom up.	Send Tom op.
She's a dog.	Hun er en grimrian.
She's a fox.	Hun er en sild.
Take a bite.	Tag en bid!
Take a look.	Tag et kig.
Take a seat.	Sid ned!
Take a seat.	Sæt jer!
Take a seat.	Tag plads!
Take a walk.	Gå en tur.
Take it all.	Tag det hele.
Take my car.	Tag min bil.
That's cool.	Det er cool.
That's free.	Det er gratis.
The TV's on.	Tv'et er tændt.
The TV's on.	Fjernsynet er tændt.
They smiled.	De smilede.
They smiled.	De smilte.
Tom is cool.	Tom er cool.
Tom is dead.	Tom er død.
Tom is poor.	Thomas er fattig.
Tom is sick.	Tom er syg.
Tom is tall.	Tom er høj.
Tom said no.	Tom sagde nej.
Tom teaches.	Tom underviser.
Tom'll call.	Tom vil ringe.
Tom's alive.	Tom er i live.
Tom's alone.	Tom er alene.
We are boys.	Vi er drenge.
We hate Tom.	Vi hader Tom.
We know you.	Vi kender dig.
We know you.	Vi kender jer.
We like him.	Vi kan lide ham.
We're clean.	Vi er rene.
We're tired.	Vi er trætte.
What a pity!	Sikke en skam!
What is art?	Hvad er kunst?
What's that?	Hvad er det?
Where is he?	Hvor er han?
Where's Tom?	Hvor er Tom?
Who are you?	Hvem er du?
Write to me.	Skriv til mig!
Yes, I know.	Ja, jeg ved det.
You are big.	Du er stor.
You're lazy.	Du er doven.
You're lazy.	I er dovne.
You're sick!	Du er syg!
You're sick.	Du er syg!
Are you busy?	Er du optaget?
Are you lost?	Er du faret vild?
Are you nuts?	Er du skør?
Are you sure?	Er du sikker?
Be merciless.	Vær skånselsløs!
Can Tom sing?	Kan Tom synge?
Can you swim?	Kan du svømme?
Deal with it.	Affind dig med det.
Deal with it.	Tag dig af det!
Did Tom call?	Har Tom ringet?
Do you smoke?	Ryger du?
Do your best!	Gør dit bedste!
Do your best!	Gør det så godt du kan!
Find the cat.	Find katten.
Go for broke!	Giv den hele armen!
Go for broke!	Sæt alt på ét bræt!
Good evening.	Godaften!
Good morning.	Godmorgen!
Happy Easter!	God påske!
Happy Easter!	Glædelig påske!
Have a drink.	Tag en drink.
He denied it.	Han benægtede det.
He has a car.	Han har bil.
He has a car.	Han har en bil.
He has a dog.	Han har en hund.
He is eating.	Han er ved at spise.
He is eating.	Han spiser.
He loves you.	Han elsker dig.
He must come.	Han skal komme.
Here you are.	Værsgo.
How horrible!	Hvor skrækkeligt!
How horrible!	Hvor forfærdeligt!
How horrible!	Det er forfærdeligt.
How horrible!	Det er skrækkeligt.
How horrible!	Hvor er det forfærdeligt.
How's school?	Hvordan går det i skolen?
I am Chinese.	Jeg er en kineser.
I am a nurse.	Jeg er en sygeplejerske.
I am a nurse.	Jeg er sygeplejerske.
I am a widow.	Jeg er enke.
I am at home.	Jeg er hjemme.
I am curious.	Jeg er nysgerrig.
I am married.	Jeg er gift.
I ate apples.	Jeg spiste æbler.
I can't help.	Jeg kan ikke hjælpe.
I can't sing.	Jeg kan ikke synge.
I don't know.	Jeg ved ikke.
I don't know.	Jeg ved det ikke.
I eat cheese.	Jeg spiser ost.
I have a cat.	Jeg har en kat.
I have a dog.	Jeg har en hund.
I have to go.	Jeg er nødt til at gå.
I hugged her.	Jeg omfavnede hende.
I live alone.	Jeg bor alene.
I often read.	Jeg læser ofte.
I see a lion.	Jeg ser en løve.
I see a rose.	Jeg ser en rose.
I see a star.	Jeg ser en stjerne.
I want to go.	Jeg ønsker at gå.
I was hungry.	Jeg var sulten.
I wonder why.	Jeg gad vide hvorfor.
I'll get one.	Jeg vil hente en.
I'll get one.	Jeg henter en.
I'll pay you.	Jeg vil betale dig.
I'm dyslexic.	Jeg er ordblind.
I'm finished.	Jeg er færdig.
I'm freezing.	Jeg fryser.
I'm in a jam.	Jeg sidder fast i en trafikprop.
I'm not sure.	Jeg er ikke sikker.
I'm not well.	Jeg har det skidt.
I'm the best.	Jeg er den bedste.
It is a book.	Det er en bog.
It'll be hot.	Det bliver varmt.
It's bedtime.	Det er sengetid.
It's for Tom.	Det er til Tom.
It's for Tom.	Den er til Tom.
It's hailing.	Det hagler.
It's raining.	Det regner.
It's snowing.	Det sner.
It's too hot.	Det er for varmt.
It's unusual.	Det er usædvanligt.
Let me do it.	Lad mig!
Let me do it.	Lad mig gøre det.
Let me think.	Lad mig tænke.
Let's try it.	Lad os prøve!
Mary is tall.	Maria er høj.
Men are pigs.	Mænd er svin.
My eyes hurt.	Mine øjne gør ondt.
Now I get it.	Nu forstår jeg.
See you soon!	Vi ses!
She helps us.	Hun hjælper os.
She is a fox.	Hun er en sild.
She knows me.	Hun kender mig.
Show me that.	Vis mig det.
Stop smoking.	Stop med at ryge.
Stop staring.	Hold op med at stirre.
Stop the car.	Stands bilen.
Take a break.	Tag en pause.
Take my hand.	Tag min hånd.
That was fun.	Det var sjovt.
That's crazy.	Det er vanvittigt.
That's my CD.	Det er min cd.
That's right!	Det er rigtigt!
They help us.	De hjælper os.
They love it.	De elsker det.
They love us.	De elsker os.
This is free.	Det er gratis.
This is ours.	Dette er vores.
Tom got beat.	Tom blev tæsket.
Tom got home.	Tom kom hjem.
Tom hates it.	Tom hader det.
Tom hates me.	Tom hader mig.
Tom is alive.	Tom er i live.
Tom is alone.	Tom er alene.
Tom is clean.	Tom er ren.
Tom is drunk.	Tom er beruset.
Tom is drunk.	Tom er fuld.
Tom is quiet.	Tom er stille.
Tom is short.	Tom er kort.
Tom is wrong.	Tom tager fejl.
Tom needs me.	Tom har brug for mig.
Tom ran away.	Thomas løb væk.
Tom was nosy.	Tom var nysgerrig.
Tom's afraid.	Tom er bange.
Tom's eating.	Tom spiser.
Tom's eating.	Tom er ved at spise.
Tom's eating.	Tom sidder og spiser.
Tom's scared.	Tom er bange.
Tom's stoned.	Tom er høj.
Tom's stoned.	Tom er skæv.
Tom's stoned.	Tom er stenet.
Try the cake.	Smag på kagen.
We are Arabs.	Vi er arabere.
We got ready.	Vi blev klar.
We have wine.	Vi har vin.
We're at war.	Vi er i krig.
What a shame!	Sikke en skam!
What is love?	Hvad er kærlighed?
What is this?	Hvad er det?
Where is Tom?	Hvor er Tom?
Why not both?	Hvorfor ikke begge?
Why not both?	Hvorfor ikke begge to?
You are rude.	Du er uhøflig.
You're cruel.	Du er grusom.
You're fired.	Du er fyret.
You're lying!	Du lyver!
You're right.	Du har ret.
Am I safe now?	Er jeg i sikkerhed nu?
Are they tall?	Er de høje?
Are you alive?	Er du i live?
Are you alone?	Er du alene?
Are you blind?	Er du blind?
Are you crazy?	Er du gal?
Are you crazy?	Er du skør?
Are you drunk?	Er De fuld?
Are you drunk?	Er du fuld?
Are you tired?	Er du træt?
Are you tired?	Er I trætte?
Be a good boy.	Vær en god dreng!
Call for help.	Ring efter hjælp.
Call me later.	Ring til mig senere.
Can you drive?	Kan du køre bil?
Did I do that?	Gjorde jeg det der?
Do I look fat?	Ser jeg tyk ud?
Do cats dream?	Drømmer katte?
Do it quickly.	Gør det hurtigt.
Does this fit?	Passer den her?
Dogs can swim.	Hunde kan svømme.
Don't be rude.	Vær ikke uforskammet.
Don't deny it.	Benægt det ikke.
Don't do this.	Gør ikke dette.
Don't respond.	Lad være at reagere!
Draw a circle.	Tegn en cirkel.
Flowers bloom.	Blomster blomstrer.
Give me a hug.	Giv mig et knus!
Give me a hug.	Giv mig et kram!
Guess who won.	Gæt hvem der vandt.
He can't swim.	Han kan ikke svømme.
He hugged her.	Han omfavnede hende.
He is a thief.	Han er en tyv.
He is no fool.	Han er ikke tabt bag af en vogn.
He is reading.	Han læser.
He lied to me.	Han løj overfor mig.
He lied to me.	Han løj over for mig.
He sells cars.	Han sælger biler.
He's autistic.	Han er autistisk.
He's studying.	Han studerer.
Here or to go?	Spise her eller tage med hjem?
His nose bled.	Hans næse blødte.
How bad is it?	Hvor skidt er det?
How bad is it?	Hvor dårligt er det?
How beautiful!	Hvor smukt!
How can it be?	Hvordan kan det være?
How do you do?	Hvordan har du det?
How old is he?	Hvor gammel er han?
I am American.	Jeg er amerikaner.
I am a Muslim.	Jeg er muslim.
I am all ears.	Jeg er lutter øren.
I am not sure.	Jeg er ikke sikker.
I am studying.	Jeg studerer.
I am the best.	Jeg er den bedste.
I can see Tom.	Jeg kan se Tom.
I can't dance.	Jeg kan ikke danse.
I can't smoke.	Jeg kan ikke ryge.
I did nothing.	Jeg gjorde ingenting.
I do like you.	Jeg kan så godt lide dig.
I exaggerated.	Jeg overdrev.
I feel guilty.	Jeg føler mig skyldig.
I feel stupid.	Jeg føler mig dum.
I hate French.	Jeg hader fransk.
I hate school.	Jeg hader skolen.
I have a book.	Jeg har en bog.
I have an egg.	Jeg har et æg.
I have to try.	Jeg er nødt til at gøre et forsøg.
I just got up.	Jeg er lige stået op.
I like French.	Jeg kan lide fransk.
I like apples.	Jeg kan lide æbler.
I like spring.	Jeg holder af foråret.
I live nearby.	Jeg bor i nærheden.
I love France.	Jeg elsker Frankrig.
I love French.	Jeg elsker fransk.
I love apples.	Jeg elsker æbler.
I love my dad.	Jeg elsker min far.
I love my mom.	Jeg elsker min mor.
I love nature.	Jeg elsker naturen.
I miss Boston.	Jeg savner Boston.
I miss my cat.	Jeg savner min kat.
I miss my mom.	Jeg savner min mor.
I need a loan.	Jeg har brug for et lån.
I own a yacht.	Jeg ejer en yacht.
I own a yacht.	Jeg ejer en lystyacht.
I play tennis.	Jeg spiller tennis.
I read a book.	Jeg læste en bog.
I saw Tom die.	Jeg så Tom dø.
I see a queen.	Jeg ser en dronning.
I want a pony.	Jeg vil have en pony.
I want to win.	Jeg ønsker at vinde.
I was at home.	Jeg var hjemme.
I wish I knew.	Bare jeg vidste!
I'll call him.	Jeg vil ringe til ham.
I'll go first.	Jeg vil gå først.
I'll help you.	Jeg vil hjælpe dig.
I'll help you.	Jeg vil hjælpe jer.
I'll prove it.	Jeg vil bevise det.
I'll take him.	Jeg tager ham.
I'm Tom's dad.	Jeg er Toms far.
I'm Tom's mom.	Jeg er Toms mor.
I'm a man now.	Jeg er en mand nu.
I'm an orphan.	Jeg er forældreløs.
I'm convinced.	Jeg er overbevist.
I'm exhausted.	Jeg er udmattet.
I'm in my car.	Jeg er i min bil.
I'm no expert.	Jeg er ikke ekspert.
I'm not drunk.	Jeg er ikke fuld.
I'm not drunk.	Jeg er ikke beruset.
I'm so sleepy.	Jeg er så træt.
I'm so sleepy.	Jeg er så søvnig.
I'm the coach.	Jer er træneren.
I'm too drunk.	Jeg er for fuld.
I'm very lazy.	Jeg er meget doven.
Is Tom coming?	Kommer Tom?
Is it working?	Virker det?
Is that a cat?	Er det en kat?
It had snowed.	Det havde sneet.
It hurts here.	Det gør ondt her.
It is raining.	Det regner.
It is snowing.	Det sner.
It is too hot.	Det er for varmt.
It takes time.	Det tager tid.
It's a secret.	Det er en hemmelighed.
It's homemade.	Den er hjemmelavet.
It's homemade.	Det er hjemmelavet.
It's my horse.	Det er min hest.
Just a minute.	Kun et minut.
Just a minute.	Lige et øjeblik!
Just a minute.	Vent lidt!
Just a minute.	Et lille øjeblik!
Just a minute.	Undskyld mig et øjeblik!
Keep it clean.	Hold det rent.
Lock the door!	Lås døren!
Lock the door.	Lås døren.
Love is blind.	Kærligheden er blind.
Mary is a fox.	Mary er en sild.
May I go home?	Må jeg gå hjem?
Mom's working.	Mor arbejder.
No, thank you.	Nej tak.
Now listen up.	Hør nu efter!
OK, listen up.	OK, hør efter!
Open the door.	Åbn døren.
Pick a weapon.	Vælg et våben!
Russia is big.	Rusland er stort.
See you again.	Vi ses!
See you later.	Vi ses.
Send it to me.	Send det til mig.
She felt blue.	Hun var nedtrykt.
She felt blue.	Hun var deprimeret.
She hates him.	Hun hader ham.
She is a twin.	Hun er tvilling.
She is crying.	Hun græder.
She is eating.	Hun er ved at spise.
She likes him.	Hun kan lide ham.
She loves Tom.	Hun elsker Tom.
She loves him.	Hun elsker ham.
She's dieting.	Hun er på diæt.
Take a chance.	Tag chancen!
Take a cookie.	Tag en småkage.
That's my cat.	Det er min kat.
These are new.	Disse er nye.
These are new.	De her er nye.
They canceled.	De aflyste.
They said yes.	De sagde ja.
They're armed.	De er bevæbnet.
They're armed.	De er bevæbnede.
This is a DVD.	Dette er en dvd.
This is a dog.	Dette er en hund.
This is my CD.	Dette er min cd.
Tom has a car.	Tom har en bil.
Tom is absent.	Tom er fraværende.
Tom is afraid.	Tom er bange.
Tom is frugal.	Tom er sparsommelig.
Tom is in bed.	Tom er i seng.
Tom is my dad.	Tom er min far.
Tom is scared.	Tom er bange.
Tom left town.	Tom forlod byen.
Tom loves you.	Tom elsker dig.
Tom loves you.	Tom elsker jer.
Tom shot Mary.	Tom skød Mary.
Tom was brave.	Tom var tapper.
Tom was tired.	Tom var træt.
Tom's adopted.	Tom er adopteret.
Tom's outside.	Tom er udenfor.
Tom's working.	Tom arbejder.
Was Tom angry?	Var Tom vred?
We are at war.	Vi er i krig.
We are hungry.	Vi er sultne.
We drank beer.	Vi drak øl.
We need money.	Vi har brug for penge.
We were ready.	Vi var klar.
We'll succeed.	Vi klarer det.
We're cousins.	Vi er søskendebørn.
We're friends.	Vi er venner.
What a relief!	Sikke en lettelse!
What a relief!	Hvilken lettelse!
What happened?	Hvad er der sket?
What happened?	Hvad skete der?
What is a UFO?	Hvad er en ufo?
Where are you?	Hvor er du?
Who called me?	Hvem ringede til mig.
Who found her?	Hvem fandt hende?
Who said that?	Hvem sagde det?
Who said that?	Hvem har sagt det?
Who says that?	Hvem siger det?
Who was right?	Hvem havde ret?
Write it down.	Skriv det ned!
You look pale.	Du ser bleg ud.
You must come.	Du skal komme.
You will fail.	Det vil mislykkes for dig.
You're insane.	Du er sindssyg.
You're pretty.	Du er smuk.
A bird can fly.	En fugl kan flyve.
Act like a man.	Opfør dig som en mand.
Ain't she cute?	Er hun ikke sød?
Am I not right?	Har jeg ikke ret?
Apples are red.	Æbler er røde.
Are you crying?	Græder du?
Are you famous?	Er du berømt?
Are you famous?	Er I berømte?
Are you polite?	Er du høflig?
Birds lay eggs.	Fugle lægger æg.
Birds lay eggs.	Fuglene lægger æg.
Boil the water.	Kog vandet.
Both are alive.	Begge to er i live.
Can I help you?	Kan jeg hjælpe dig?
Can I help you?	Har du brug for hjælp?
Can I help you?	Kan jeg hjælpe jer?
Can I help you?	Har I brug for hjælp?
Can I kiss you?	Må jeg kysse dig?
Close the gate.	Luk porten.
Come down here.	Kom herned!
Cows eat grass.	Køer spiser græs.
Do it this way.	Gør det på denne måde.
Do you like it?	Kan du lide det?
Do you love me?	Elsker du mig?
Do you miss me?	Savner du mig?
Does it matter?	Har det nogen betydning?
Does this hurt?	Gør det her ondt?
Don't complain.	Klag ikke.
Don't leave us.	Forlad os ikke!
Don't tempt me.	Frist mig ikke.
Don't touch me!	Rør mig ikke.
Don't touch me.	Rør mig ikke.
Follow the car.	Følg bilen.
Follow the car.	Følg efter bilen.
Get in the van.	Stig ind i varevognen.
Get on the bus.	Stig på bussen.
Get on the bus.	Stig på bussen!
Give it to her.	Giv hende det.
Give it to her.	Giv det til hende.
Give me a hand.	Giv mig en hånd.
Give me a week.	Giv mig en uge.
Go back to bed.	Gå i seng igen.
Happy New Year!	Godt Nytår!
Happy New Year!	Godt nytår!
Happy birthday!	Tillykke med fødselsdagen!
He cannot swim.	Han kan ikke svømme.
He deserved it.	Han fortjente det.
He is a writer.	Han er forfatter.
He is an actor.	Han er skuespiller.
He loves music.	Han elsker musik.
He surrendered.	Han overgav sig.
He's a big boy.	Han er en stor dreng.
He's an author.	Han er forfatter.
Here is my key.	Her er min nøgle.
His name's Tom.	Hans navn er Tom.
How about that!	Hvad siger du så!
How about that!	Hvad siger I så!
How good is he?	Hvor god er han?
I am a student.	Jeg er studerende.
I am a tourist.	Jeg er en turist.
I am exhausted.	Jeg er udmattet.
I bike to work.	Jeg cykler til arbejde.
I bike to work.	Jeg tager cyklen til arbejde.
I blame myself.	Jeg bebrejder mig selv.
I blame myself.	Jeg giver mig selv skylden.
I broke my arm.	Jeg brækkede armen.
I broke my leg.	Jeg brækkede benet.
I can prove it.	Jeg kan bevise det.
I deserve that.	Jeg fortjener det.
I didn't do it.	Jeg har ikke gjort det.
I dislike eggs.	Jeg bryder mig ikke om æg.
I drink coffee.	Jeg drikker kaffe.
I followed Tom.	Jeg fulgte Tom.
I go to school.	Jeg går i skole.
I hate spiders.	Jeg hader edderkopper.
I hate spinach.	Jeg hader spinat.
I have a horse.	Jeg har en hest.
I have a truck.	Jeg har en lastbil.
I know the way.	Jeg kender vejen.
I let Tom down.	Jeg svigtede Tom.
I like the dog.	Jeg kan lide hunden.
I love cooking.	Jeg elsker at lave mad.
I love dessert.	Jeg elsker dessert.
I love lasagna.	Jeg elsker lasagne.
I need a stamp.	Jeg har brug for et frimærke.
I pay Tom well.	Jeg betaler Tom godt.
I quit smoking.	Jeg er holdt op med at ryge.
I said take it.	Jeg sagde: "Tag det!"
I see the girl.	Jeg ser pigen.
I see your pen.	Jeg ser din pen.
I speak French.	Jeg taler fransk.
I teach French.	Jeg underviser i fransk.
I want to live.	Jeg ønsker at leve.
I want to live.	Jeg vil leve.
I was tortured.	Jeg blev tortureret.
I was tortured.	Jeg blev torteret.
I wasn't lucky.	Jeg var ikke heldig.
I wish I could.	Gid jeg kunne!
I'll shoot you.	Jeg vil skyde dig.
I'll wait here.	Jeg venter her.
I'm a free man.	Jeg er en fri mand.
I'm a free man.	Jeg er et frit menneske.
I'm an atheist.	Jeg er ateist.
I'm doing well.	Jeg har det godt.
I'm frightened.	Jeg er skræmt.
I'm from Kyoto.	Jeg er fra Kyoto.
I'm from Tokyo.	Jeg er fra Tokyo.
I'm interested.	Jeg er interesseret.
