Hi.	Cső!
Go slow.	Lassan menj.
Goodbye!	Viszlát!
Hang on!	Tarts ki!
He came.	Eljött.
He runs.	Fut.
Help me!	Segítség!
Help me.	Segíts!
Help me.	Segíts nekem.
Help us.	Segíts nekünk!
Hi, Tom.	Szia, Tom!
Hi, Tom.	Helló, Tom!
Hit Tom.	Üsd meg Tomit.
Hold it!	Fogd meg!
Hold on.	Várj!
Hug Tom.	Öleld meg Tomit.
I agree.	Egyetértek.
I tried.	Én megpróbáltam.
I'll go.	El fogok menni.
I'm Tom.	Tom vagyok.
I'm fat.	Kövér vagyok.
I'm fat.	Dagi vagyok.
I'm fat.	Dagadt vagyok.
I'm fat.	El vagyok hízva.
I'm fat.	Pufi vagyok.
I'm hit!	Eltaláltak!
I'm hot.	Dögös vagyok.
I'm old.	Öreg vagyok.
I'm shy.	Félénk vagyok.
I'm wet.	Vizes lettem.
It's OK.	Rendben.
It's OK.	Jól van.
It's OK.	Oké!
It's OK.	Jó.
It's OK.	Sima sor!
It's me!	Én vagyok az!
It's me.	Én vagyok.
It's me.	Ez én vagyok.
Join us.	Állj közénk.
Keep it.	Tartsd meg.
Kiss me.	Csókolj meg!
Me, too.	Én is.
Open up.	Nyisd ki!
Perfect!	Tökéletes!
See you.	Viszlát.
See you.	Addig is.
Show me.	Mutasd meg!
Show me.	Mutasd!
Skip it.	Hagyd ki.
So long.	Helló!
Stop it.	Fejezd be!
Take it.	Vedd el.
Tell me.	Mondd el nekem.
Tell me.	Mondd meg nekem.
Tom ate.	Tom evett.
Tom ran.	Tom futott.
Tom won.	Ki nyert?
Wait up.	Várj meg!
Wake up!	Ébredj!
Wake up!	Ébresztő!
Wake up.	Ébresztő!
We know.	Tudjuk.
We lost.	Veszítettünk.
Welcome.	Isten hozta!
Welcome.	Isten hozott!
Who ate?	Ki volt az, aki evett?
Who ate?	Ki evett?
Who ran?	Ki futott?
Why not?	Miért ne?
You run.	Te futsz.
You won.	Nyertél!
You won.	Győztél!
Am I fat?	Kövér vagyok?
Am I fat?	Dagi vagyok?
Ask them.	Kérdezd őket!
Back off.	Hátrálj!
Back off.	Vissza!
Be brief.	Légy rövid!
Be brief.	Fogd rövidre!
Be still.	Maradj csöndben.
Cool off!	Higgadj le!
Cuff him.	Bilincseld meg.
Drive on.	Vezess tovább!
Drive on.	Hajts tovább!
Find Tom.	Keresd meg Tomit.
Find Tom.	Keresd elő Tomit!
Find Tom.	Találd meg Tomit!
Fix this.	Javítsd meg ezt!
Get down!	Gyere le!
Get lost!	Kotródj innen!
Get lost!	Húzz innen!
Get lost.	Tűnj innen!
Get real!	Szállj már le a földre!
Go ahead!	Folytasd!
Go ahead!	Csak rajta!
Go ahead.	Folytasd.
Go on in.	Menj be!
Grab him.	Kapd el!
Have fun.	Érezd magad jól!
Have fun.	Szórakozz jól!
Have fun.	Jó szórakozást!
Help Tom.	Segíts Tominak!
Help him.	Segíts neki!
How cute!	Milyen aranyos!
How cute!	Milyen cuki!
How cute!	Milyen zabálnivaló!
How cute!	Hogy ez milyen ennivaló!
How deep?	Milyen mély?
How long?	Milyen hosszú?
Hurry up.	Siess!
Hurry up.	Igyekezz!
Hurry up.	Spuri!
Hurry up.	Szedd a lábad!
Hurry up.	Kapkodd a lábad!
Hurry up.	Iparkodj!
I agreed.	Egyetértettem.
I am fat.	Kövér vagyok.
I ate it.	Megettem.
I can go.	Mehetek.
I did OK.	Jól teljesítettem.
I failed.	Megbuktam.
I forgot.	Elfelejtettem.
I get by.	Elboldogulok.
I get it.	Értem.
I got it.	Csinálom.
I saw it.	Láttam.
I smiled.	Mosolyogtam.
I stayed.	Maradtam.
I use it.	Használom.
I waited.	Vártam.
I'll pay.	Én fizetek.
I'll pay.	Én állom a cehhet.
I'll pay.	Majd én fizetek.
I'll try.	Meg fogom próbálni.
I'm back.	Visszatértem.
I'm back.	Újra itt vagyok.
I'm back.	Megint itt vagyok.
I'm bald.	Kopasz vagyok.
I'm calm.	Nyugodt vagyok.
I'm cold.	Fázom.
I'm done.	Végeztem.
I'm fair.	Korrektül járok el.
I'm fine.	Jól vagyok.
I'm free.	Szabad vagyok.
I'm full.	Teli vagyok.
I'm glad.	Örülök.
I'm here.	Itt vagyok.
I'm home.	Otthon vagyok.
I'm hurt.	Megsérültem.
I'm late.	Elkéstem.
I'm lazy.	Lusta vagyok.
I'm lost.	Eltévedtem.
I'm mean.	Rosszindulatú vagyok.
I'm next.	Én jövök.
I'm poor.	Szegény vagyok.
I'm rich.	Gazdag vagyok.
I'm safe.	Biztonságban vagyok.
I'm sick.	Beteg vagyok.
I'm sick.	Rosszul vagyok.
I'm sure.	Biztos vagyok benne.
I'm thin.	Sovány vagyok.
I'm tidy.	Rendet tartok magam körül.
I'm ugly.	Ronda vagyok.
I'm weak.	Gyenge vagyok.
I'm wise.	Bölcs vagyok.
I've won.	Nyertem.
It helps.	Ez segít.
It works.	Működik.
It's Tom.	Tomi az.
It's fun.	Ez vicces.
It's his.	Az övé.
It's hot.	Meleg van.
It's new.	Az új.
It's new.	Új.
It's old.	Ez régi.
Keep out!	Ne gyere ide!
Keep out.	Ne gyere ide.
Kiss Tom.	Csókold meg Tomit!
Leave it.	Ne foglalkozz ezzel.
Leave me.	Hagyj magamra.
Leave us.	Hagyj magunkra.
Let's go!	Menjünk!
Let's go!	Kezdjük el!
Let's go!	Vágjunk neki!
Look out!	Figyelj!
Look out!	Vigyázz!
Marry me.	Házasodjunk össze!
May I go?	Mehetek?
Save Tom.	Mentsd meg Tomit!
She came.	Eljött.
She runs.	Fut.
She runs.	Rohan.
Sit down!	Ülj le!
Sit here.	Ide ülj.
Speak up!	Beszélj hangosabban!
Stand by.	Itt várj!
Stand up!	Álljon fel!
Stand up!	Álljatok fel!
Stand up!	Álljanak fel!
Stand up.	Állj fel!
Stay put.	Maradj veszteg!
Stop Tom.	Állítsd meg Tomit!
Take Tom.	Vegyük Tomit.
Tell Tom.	Mondd meg Tominak.
Terrific!	Nagyszerű!
Terrific!	Borzasztó, iszonyú, szörnyű!
They won.	Ők nyertek.
Tom came.	Tom jött el.
Tom died.	Tom meghalt.
Tom fell.	Tom elesett.
Tom knew.	Tom tudta.
Tom left.	Tom elindult.
Tom left.	Tom elment.
Tom lied.	Tom hazudott.
Tom lies.	Tom hazudik.
Tom lost.	Tom veszített.
Tom paid.	Tom fizetett.
Tom quit.	Tom feladta.
Tom quit.	Tom abbahagyta.
Tom swam.	Tom úszott.
Tom's up.	Tomi már felkelt.
Too late.	Túl késő.
Too late.	Késő.
Trust me.	Bízzál bennem!
Try hard.	Próbálkozz keményen!
Try some.	Próbálj meg néhányat!
Try some.	Próbálj ki néhányat!
Try this.	Próbáld meg ezt.
Use this.	Ezt használd.
Warn Tom.	Figyelmeztesd Tomit!
Warn Tom.	Figyelmeztesd Tomit.
Watch me.	Figyelj engem.
Watch us.	Figyelj minket.
We agree.	Egyetértünk.
We tried.	Megpróbáltuk.
What fun!	Milyen jó szórakozás!
What fun!	Micsoda móka!
Who came?	Ki jött?
Who died?	Ki halt meg?
Who fell?	Ki esett el?
Who quit?	Ki adta fel?
Who quit?	Ki hagyta abba?
Who swam?	Ki úszott?
Who's he?	Ő ki?
Write me.	Írjál nekem.
Aim. Fire!	Cél. Tűz!
Am I late?	Késtem?
Answer me.	Válaszolj nekem!
Be seated.	Üljön le!
Birds fly.	A madarak repülnek.
Bless you.	Egészségedre!
Call home!	Telefonálj haza!
Calm down.	Higgadj le.
Can I eat?	Ehetek?
Can we go?	Mehetünk?
Catch Tom.	Kapd el Tomit!
Catch him.	Fogd meg!
Catch him.	Kapd el!
Chill out.	Lazíts!
Chill out.	Lazulj!
Come back.	Gyere vissza!
Come back.	Gyertek vissza!
Come over!	Gyere át!
Come soon.	Gyere mihamarabb!
Did I win?	Nyertem?
Do it now.	Tedd meg most.
Don't ask.	Ne kérdezz!
Don't ask.	Ne kérdezd!
Don't cry.	Ne sírj.
Don't cry.	Ne sírj!
Don't die.	Ne halj meg!
Don't lie.	Ne hazudj!
Don't run.	Ne fuss!
Excuse me.	Elnézést.
Excuse me?	Elmondaná még egyszer?
Fantastic!	Fantasztikus!
Feel this.	Érezd ezt!
Follow us.	Kövess bennünket!
Forget it.	Felejtsd el!
Forget it.	Spongyát rá!
Forget it.	Vedd úgy, hogy nem is mondtam!
Get a job.	Szerezz állást!
Get a job.	Szerezz munkát!
Get ready.	Készülj fel!
Go for it.	Ragadd meg!
Good luck.	Sok szerencsét!
Grab that.	Ragadd meg!
Grab this.	Ragadd meg ezt!
Hands off.	El a kezekkel!
Have some.	Vegyél néhányat!
Have some.	Egyél néhányat!
He is ill.	Ő beteg.
He is ill.	Beteg.
He is old.	Ő öreg.
He's a DJ.	Ő egy DJ.
Here I am.	Itt vagyok.
Hold fire.	Tüzet szüntess!
Hold this.	Tartsd ezt!
How awful!	Milyen szörnyű!
How weird!	Milyen furcsa!
How's Tom?	Tomi hogy van?
I am full.	Tele vagyok.
I am good.	Én jó vagyok.
I am here.	Itt vagyok.
I can ski.	Tudok síelni.
I fainted.	Elájultam.
I fear so.	Attól tartok, hogy úgy van.
I felt it.	Éreztem.
I gave up.	Feladtam.
I get you.	Értelek.
I give up.	Feladom.
I got cut.	Megvágtak.
I got hit.	Eltaláltak.
I had fun.	Jól szórakoztam.
I hate it.	Utálom.
I hope so.	Remélem is, hogy úgy van.
I hope so.	Bízom benne.
I hope so.	Reménykedem benne.
I knew it.	Tudtam.
I laughed.	Nevettem.
I like it.	Ez tetszik nekem.
I like it.	Tetszik nekem.
I like it.	Nekem ez bejön.
I like it.	Szeretem ezt.
I lost it.	Elveszítettem.
I love it!	Imádom!
I mean it.	Komolyan gondolom.
I miss it.	Hiányzik nekem.
I need it.	Szükségem van rá.
I noticed.	Észrevettem.
I promise.	Megígérem.
I said no.	Nemet mondtam.
I said so.	Én megmondtam.
I saw Tom.	Láttam Tamást.
I saw him.	Láttam őt.
I saw one.	Láttam egyet.
I saw you.	Láttalak téged.
I tripped.	Megbotlottam.
I want it.	Akarom azt.
I was fat.	Kövér voltam.
I was new.	Új voltam.
I was sad.	Szomorú voltam.
I will go.	Menni fogok.
I woke up.	Felébredtem.
I'd do it.	Megtenném.
I'd leave.	Elmennék.
I'll call.	Telefonálni fogok.
I'll cook.	Főzni fogok.
I'll live.	Életben maradok.
I'll obey.	Engedelmeskedni fogok.
I'll pack.	Én fogok csomagolni.
I'll quit.	Ki fogok lépni.
I'll sing.	Énekelni fogok.
I'll stay.	Maradni fogok.
I'll stop.	Meg fogok állni.
I'll talk.	Beszélni fogok.
I'll wait.	Várni fogok.
I'll walk.	Gyalog fogok menni.
I'll work.	Dolgozni fogok.
I'm a man.	Férfi vagyok.
I'm alone.	Egyedül vagyok.
I'm angry.	Mérges vagyok.
I'm angry.	Haragszok.
I'm angry.	Dühös vagyok.
I'm armed.	Fel vagyok fegyverezve.
I'm awake.	Ébren vagyok.
I'm blind.	Vak vagyok.
I'm brave.	Bátor vagyok.
I'm broke.	Nincs egy vasam se.
I'm clean.	Tiszta vagyok.
I'm cured.	Kigyógyultam.
I'm dizzy.	Szédülök.
I'm drunk.	Részeg vagyok.
I'm dying.	Haldoklom.
I'm first.	Első vagyok.
I'm going.	Megyek.
I'm loyal.	Hűséges vagyok.
I'm lucky.	Szerencsés vagyok.
I'm lying.	Nem mondok igazat.
I'm naked.	Meztelen vagyok.
I'm naked.	Pucér vagyok.
I'm obese.	Elhízott vagyok.
I'm ready!	Készen állok!
I'm right.	Igazam van.
I'm short.	Profi vagyok.
I'm smart.	Okos vagyok.
I'm sorry.	Sajnálom.
I'm sorry.	Elnézést kérek!
I'm stuck.	Elakadtam.
I'm timid.	Félénk vagyok.
I'm tough.	Kemény vagyok.
I'm upset.	Felháborodtam.
I'm yours.	A tiéd vagyok.
I've lost.	Veszítettem.
Ignore it.	Ne törődj vele!
Ignore it.	Ne vedd figyelembe!
Is Tom OK?	Tom renden van?
Is Tom in?	Tom bent van?
Is it bad?	Ez rossz?
Is it far?	Messze van?
Is it hot?	Forró?
Is it new?	Új?
It burned.	Elégett.
It failed.	Ez nem sikerült.
It rained.	Esett.
It rained.	Esett az eső.
It snowed.	Havazott.
It stinks.	Ez bűzlik.
It worked.	Működött.
It worked.	Sikerült.
It's 3:10.	Most három óra tíz perc van.
It's a TV.	Az egy tévé.
It's a TV.	Ez egy televízió.
It's dark.	Ez sötét.
It's dead.	Kimúlt.
It's easy.	Ez könnyű.
It's easy.	Ez egyszerű.
It's fair.	Ez igazságos.
It's food.	Ez étel.
It's free.	Ez ingyenes.
It's good.	Ez jó.
It's hard.	Ez nehéz.
It's here.	Itt van.
It's hers.	Ez az övé.
It's huge.	Ez hatalmas.
It's huge.	Ez óriási.
It's late.	Késő van.
It's mine.	Ez az enyém.
It's open.	Nyitva van.
It's ours.	Ez a miénk.
It's over.	Vége van.
It's real.	Ez valódi.
It's real.	Ez igazi.
It's true!	Igaz!
It's true.	Ez igaz.
It's warm.	Meleg van.
It's work.	Ez munka.
Keep calm.	Maradj nyugodt!
Keep that.	Azt tartsd meg!
Keep them.	Tartsd meg őket!
Keep this.	Ezt tartsd meg!
Keep warm.	Tartsd melegen!
Leave Tom.	Hagyd Tomit!
Leave now.	Most távozzon!
Let it be.	Úgy legyen!
Let me be.	Hagyj békén.
Let me go.	Hadd menjek!
Let me in.	Engedj be.
Let us in.	Engedjetek be minket.
Let's ask.	Kérdezzünk!
Let's see.	Lássuk!
Lie still.	Feküdj mozdulatlanul!
Look back.	Nézz hátra!
Look here.	Nézz ide!
Loosen it.	Lazítsd meg!
Move over.	Állj félre!
Move over.	Menj arrébb!
Of course!	Simán!
Of course!	Hát persze!
Of course!	De még mennyire!
Of course!	Persze!
Of course!	Naná!
Of course!	De még hogy!
Of course!	Persze, hogy igen!
Of course!	Nyugodtan!
Of course!	Abszolút!
Of course.	Ez már csak természetes.
Of course.	De hát ez természetes!
Open fire!	Tüzet nyiss!
Open fire!	Nyissatok tüzet!
Please go.	Kérlek, menj!
Put it on.	Tedd fel!
Read this.	Olvasd el ezt!
Say "aah."	Mondja, hogy "ááá"!
Say hello.	Köszönj!
See above.	Lásd fent!
See below.	Lásd alább.
Seize him!	Ragadd meg!
Seize him!	Fogd el!
Seriously?	Komolyan mondod?
Seriously?	Komolyan?
She cried.	Ő sírt.
She tried.	Ő megpróbálta.
She walks.	Ő sétál.
She walks.	Ő gyalogol.
Sign here.	Itt írja alá!
Sign this.	Írd ezt alá!
Sit still.	Ülj mozdulatlanul!
Sit there.	Ülj oda!
Sit tight.	Ülj egyenesen!
Slow down.	Lassíts le!
Stay away.	Maradj távol!
Stay back.	Maradj hátul!
Stay down!	Maradj lenn!
Stay thin.	Maradj sovány.
Step back.	Lépj vissza!
Stop here.	Itt állj meg!
Stop here.	Állj meg itt!
Stop that!	Hagyd azt abba!
Stop that!	Fejezd azt be!
Stop them.	Állítsd meg őket!
Take care.	Vigyázz magadra!
Take mine.	Vidd az enyémet!
Take mine.	Vedd el az enyémet!
Take over.	Vedd át!
Take this.	Fogd ezt!
That's it.	Ennyi.
They fell.	Elestek.
They lost.	Elvesztek.
They swam.	Úsztak.
Tom bowed.	Tom meghajolt.
Tom cried.	Tom sírt.
Tom dozed.	Tom elszundított.
Tom drove.	Tom vezetett.
Tom is OK.	Tom rendben van.
Tom is in.	Tom bent van.
Tom is up.	Tom fent van.
Tom knits.	Tom szokott kötni.
Tom knows.	Tom tudja.
Tom moved.	Tom elköltözött.
Tom rocks.	Tom klassz srác.
Tom spoke.	Tom beszélt.
Tom stood.	Tom felállt.
Tom swore.	Tom megesküdött.
Tom tried.	Tom megpróbálta.
Tom tries.	Tom megpróbálja.
Tom voted.	Tom szavazott.
Tom walks.	Tom sétálni szokott.
Tom waved.	Tom integetett.
Tom works.	Tom dolgozik.
Tom'll go.	Tom menni fog.
Tom's fat.	Tom kövér.
Tom's mad.	Tom borzasztóan dühös.
Tom's sad.	Tom szomorú.
Tom's shy.	Tom félénk.
Trust Tom.	Bízzál Tomiban.
Try again.	Próbálja újra.
Turn left.	Fordulj balra!
Wait here.	Várj itt!
Watch Tom.	Figyeld Tomit.
Watch out!	Vigyázz!
We agreed.	Megegyeztünk.
We can go.	Mehetünk.
We did it.	Megcsináltuk.
We failed.	Kudarcot vallottunk.
We forgot.	Elfelejtettük.
We saw it.	Láttuk.
We talked.	Beszélgettünk.
We waited.	Vártunk.
We've won!	Nyertünk.
We've won!	Győztünk.
Well done!	Szép munka!
Well done.	Jól csináltad!
Well done.	Ennyi!
What else?	Mi más?
What else?	Mi mást?
What's up?	Mi a helyzet?
Who cares?	Kit érdekel?
Who cares?	Ki foglalkozok vele!?
Who is it?	Ki az?
Who knows?	Ki tudja?
Who spoke?	Ki beszélt?
Who stood?	Ki állt?
Who'll go?	Ki fog menni?
Who's Tom?	Tom kicsoda?
Who's Tom?	Ki az a Tom?
Who's she?	Ő kicsoda?
Wonderful!	Csodálatos!
Wonderful!	Milyen csodálatos!
Write Tom.	Írj Tominak!
You drive.	Te vezetsz.
You idiot!	Te idióta!
You idiot!	Te agyatlan!
You start.	Te kezdesz.
You stink.	Bűzlesz.
You tried.	Megpróbáltad.
You tried.	Te megpróbáltad.
You're OK.	Rendben vagy.
You're OK.	OK vagy.
Aim higher.	Célozz magasabbra!
All aboard!	Mindenki a fedélzetre!
Am I dying?	Haldoklom?
Am I early?	Korán jöttem?
Am I fired?	Ki vagyok rúgva?
Am I first?	Én vagyok az első?
Am I hired?	Fölvettek?
Am I right?	Igazam van?
Answer Tom.	Válaszolj Tominak.
Are you OK?	Jól vagy?
Are you up?	Fönt vagy?
Ask anyone.	Kérdezz bárkit!
Be careful.	Légy óvatos!
Be careful.	Óvatos legyél!
Be content.	Légy elégedett!
Be serious.	Légy komoly!
Birds sing.	Énekelnek a madarak.
Bring food.	Hozz ételt!
Bring food.	Hozz élelmet!
Bring help.	Hozz segítséget!
Bring wine.	Hozz bort!
Can I come?	Jöhetek?
Can I stay?	Maradhatok?
Carry this.	Vidd ezt!
Check that.	Nézd meg azt!
Check this.	Nézd meg!
Choose one.	Válassz egyet!
Come again.	Gyere el újra!
Come alone.	Gyere egyedül!
Come early.	Korán gyere!
Come on in!	Jöjjön be!
Cut it out.	Hagyd abba!
Definitely!	Határozottan!
Definitely!	Okvetlenül!
Definitely!	Kétségkívül!
Definitely!	Határozottan igen.
Did we win?	Nyertünk?
Do I stink?	Bűzlök?
Don't come.	Ne gyere!
Don't jump!	Ne ugorj!
Don't look.	Ne nézz!
Don't move.	Ne mozdulj!
Don't peek.	Ne less!
Don't push.	Ne nyomj!
Don't rush.	Ne rohanj!
Don't sing.	Ne énekelj!
Don't stop.	Ne hagyd abba!
Don't stop.	Ne állj meg!
Don't talk!	Ne beszélj!
Don't talk!	Ne dumálj!
Duty calls.	Szólít a kötelesség.
Duty calls.	Hív a kötelesség.
Eat slowly.	Egyél lassan!
Eat slowly.	Lassan táplálkozz.
Examine it.	Vizsgáld ezt meg!
Fill it up.	Töltsd fel!
Fire burns.	A tűz éget.
Follow Tom.	Kövesd Tomit.
Follow him.	Kövesd őt.
Forget Tom.	Felejtsd el Tomit.
Forget him.	Felejtsd el őt!
Forget him.	Őt felejtsd el!
Forgive me.	Bocsáss meg nekem!
Forgive us.	Bocsáss meg nekünk!
Get inside.	Juss be!
Give it up.	Mondj le!
Give it up.	Hagyd abba!
Give it up.	Add fel!
Give it up.	Felejtsd el!
Go warm up.	Menj bemelegíteni!
He coughed.	Köhögött.
He gave up.	Feladta.
He is poor.	Ő szegény.
He is sick.	Ő beteg.
He laughed.	Nevetett.
He made it.	Megcsinálta.
He's happy.	Boldog.
He's lying.	Hazudik.
Hello, Tom.	Szia, Tom!
Here he is!	Itt van!
Here it is.	Tessék.
Here it is.	Nesze.
Here it is.	Itt van.
Hey, relax.	Hé, nyugalom!
Hold still.	Maradj nyugton!
Hold still.	Maradj mozdulatlanul!
How absurd!	Milyen abszurd!
How clever!	Milyen ügyes!
How is Tom?	Hogy van Tom?
How lovely!	Milyen kedves!
How lovely!	Milyen bájos!
How tragic!	Milyen tragikus!
How was it?	Milyen volt?
Hurry back.	Siess vissza!
Hurry home.	Siess haza!
I am a man.	Férfi vagyok.
I am human.	Emberi lény vagyok.
I am ready.	Kész vagyok.
I am right.	Igazam van.
I am short.	Alacsony vagyok.
I can come.	Tudok jönni.
I can cook.	Tudok főzni.
I can help.	Tudok segíteni.
I can read.	Tudok olvasni.
I can swim.	Tudok úszni.
I did that.	Ezt én tettem.
I disagree.	Nem értek egyet.
I do worry.	Igenis aggódom.
I eat here.	Itt étkezem.
I eat here.	Itt fogyasztom el.
I envy Tom.	Irigylem Tomit.
I envy Tom.	Irigylem Tomot.
I envy her.	Irigylem őt.
I feel old.	Öregnek érzem magam.
I feel old.	Idősnek érzem magam.
I felt sad.	Szomorúnak éreztem magam.
I fixed it.	Én javítottam meg.
I fixed it.	Megjavítottam.
I got busy.	Elfoglalt vagyok.
I got hurt.	Megsérültem.
I got lost.	Eltévedtem.
I got sick.	Beteg lettem.
I got sick.	Megbetegedtem.
I guess so.	Úgy gondolom.
I had help.	Volt segítségem.
I hate Tom.	Utálom Tomot.
I hate you.	Utállak.
I have one.	Nekem van belőle.
I have won.	Nyertem.
I help him.	Segítek neki.
I just ate.	Most ettem.
I know CPR.	Tudom, hogyan kell újraélesztést alkalmazni.
I know Tom.	Ismerem Tamást.
I know now.	Most már tudom.
I know you.	Ismerlek téged.
I like art.	Szeretem a művészetet.
I like him.	Kedvelem őt.
I like tea.	Szeretem a teát.
I liked it.	Jó volt!
I liked it.	Nekem tetszett.
I love Tom.	Szeretem Tomot.
I love her.	Szeretem őt.
I love her.	Szeretem.
I love tea.	Imádom a teát.
I love you.	Szeretlek!
I love you.	Szeretlek téged.
I loved it.	Imádtam.
I made tea.	Csináltam teát.
I made two.	Kettőt csináltam.
I met them.	Találkoztam velük.
I miss you.	Hiányzol.
I miss you.	Hiányollak.
I miss you.	Hiányzol nekem.
I need air.	Levegőre van szükségem.
I need ice.	Jégre van szükségem.
I need you.	Szükségem van rád.
I need you.	Szükségem van önre.
I need you.	Szükségem van rátok.
I need you.	Szükségem van önökre.
I panicked.	Pánikba estem.
I promised.	Megígértem.
I ran away.	Elfutottam.
I ran home.	Hazafutottam.
I remember.	Emlékszem.
I resigned.	Lemondtam.
I said yes.	Igent mondtam.
I sat down.	Leültem.
I saw that.	Láttam.
I saw that.	Én láttam.
I saw them.	Láttam őket.
I see that.	Ezt értem.
I see them.	Látom őket.
I shot Tom.	Lelőttem Tomit.
I survived.	Túléltem.
I think so.	Azt hiszem, igen.
I threw up.	Hánytam.
I told Tom.	Megmondtam Tominak.
I tried it.	Megpróbáltam.
I tried it.	Kipróbáltam.
I use this.	Ezt használom.
I want Tom.	Tomit akarom.
I want one.	Kell nekem egy.
I want you.	Akarlak téged!
I was away.	Távol voltam.
I was busy.	Dolgom volt.
I was good.	Jó voltam.
I was late.	Elkéstem.
I was sick.	Rosszul voltam.
I will try.	Meg fogom próbálni.
I won't go.	Nem fogok elmenni.
I wrote it.	Én írtam.
I'd buy it.	Megvenném.
I'll check.	Ellenőrizni fogom.
I'll drive.	Én vezetek.
I'll hurry.	Sietni fogok.
I'll leave.	El fogok menni.
I'll shoot.	Lőni fogok.
I'll start.	Én kezdek.
I'm a hero.	Én egy hős vagyok.
I'm afraid.	Félek.
I'm better.	Jobb vagyok.
I'm biased.	Elfogult vagyok.
I'm bushed.	Kimerültem.
I'm buying.	Vásárolok.
I'm chubby.	Duci vagyok.
I'm clumsy.	Ügyetlen vagyok.
I'm coming.	Jövök.
I'm direct.	Közvetlen vagyok.
I'm eating.	Eszem.
I'm famous.	Híres vagyok.
I'm faster.	Gyorsabb vagyok.
I'm flabby.	Löttyedt vagyok.
I'm greedy.	Mohó vagyok.
I'm guilty.	Bűnös vagyok.
I'm hiding.	Rejtőzködök.
I'm humble.	Alázatos vagyok.
I'm hungry!	Éhes vagyok.
I'm hungry!	Éhes vagyok!
I'm hungry.	Éhes vagyok.
I'm hungry.	Éhes vagyok!
I'm immune.	Immunis vagyok.
I'm in bed.	Ágyban vagyok.
I'm inside.	Bent vagyok.
I'm loaded.	Sok pénzem van.
I'm lonely.	Magányos vagyok.
I'm lonely.	Elhagyatott vagyok.
I'm lonely.	Társtalan vagyok.
I'm lonely.	Egyedülálló vagyok.
I'm losing.	Vesztésre állok.
I'm mature.	Érett vagyok.
I'm moving.	Mozgásban vagyok.
I'm normal.	Normális vagyok.
I'm paying.	Én fizetek.
I'm rested.	Kipihentem magam.
I'm ruined.	Tönkrementem.
I'm skinny.	Sovány vagyok.
I'm so fat.	Olyan kövér vagyok.
I'm so mad.	Nagyon mérges vagyok.
I'm strict.	Szigorú vagyok.
I'm strong.	Erős vagyok.
I'm thirty.	Harminc vagyok.
I'm thirty.	Harmincéves vagyok.
I'm trying.	Próbálkozom.
I'm twelve.	Tizenkét éves vagyok.
I'm wasted.	Csak pocsékolom az energiáimat.
I've tried.	Én megpróbáltam.
Ignore Tom.	Nem törődj Tomival!
Ignore Tom.	Ne foglalkozz Tomival!
Is Tom big?	Tom nagy?
Is Tom hot?	Tom dögös?
Is Tom ill?	Tom beteg?
Is Tom out?	Tom kint van?
